
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.440]   Hot
[00:45:34.170 --> 00:45:34.330]   to
[00:45:34.330 --> 00:45:34.980]   essentially
[00:45:34.980 --> 00:45:35.400]   enhance
[00:45:35.400 --> 00:45:35.880]   Twitter
[00:45:35.880 --> 00:45:36.040]  ,
[00:45:36.040 --> 00:45:36.310]   you
[00:45:36.310 --> 00:45:36.600]   know
[00:45:36.600 --> 00:45:36.600]  
[00:45:36.600 --> 00:45:36.650]   I
[00:45:36.650 --> 00:45:36.760]  'm
[00:45:36.760 --> 00:45:36.990]   kind
[00:45:36.990 --> 00:45:37.100]   of
[00:45:37.100 --> 00:45:37.810]   disappointed
[00:45:37.810 --> 00:45:38.240]   Justin
[00:45:38.240 --> 00:45:38.460]   you
[00:45:38.460 --> 00:45:38.720]   don
[00:45:38.720 --> 00:45:38.890]  't
[00:45:38.890 --> 00:45:39.150]   say
[00:45:39.150 --> 00:45:39.720]   monkey
[00:45:39.720 --> 00:45:40.200]   Like
[00:45:40.200 --> 00:45:40.370]   the
[00:45:40.370 --> 00:45:40.650]   way
[00:45:40.650 --> 00:45:40.740]   I
[00:45:40.740 --> 00:45:41.240]   think
[00:45:41.240 --> 00:45:41.290]   I
[00:45:41.290 --> 00:45:42.030]   expected
[00:45:42.030 --> 00:45:42.210]   an
[00:45:42.210 --> 00:45:42.860]   English
[00:45:42.860 --> 00:45:43.140]   guy
[00:45:43.140 --> 00:45:43.320]   to
[00:45:43.320 --> 00:45:43.590]   say
[00:45:43.590 --> 00:45:44.200]   monkey
[00:45:44.200 --> 00:45:44.330]  .
[00:45:44.330 --> 00:45:44.400]   I
[00:45:44.400 --> 00:45:44.540]  've
[00:45:44.540 --> 00:45:44.710]   seen
[00:45:44.710 --> 00:45:44.900]   some
[00:45:44.900 --> 00:45:45.180]   movies
[00:45:45.180 --> 00:45:45.420]   where
[00:45:45.420 --> 00:45:45.620]   they
[00:45:45.620 --> 00:45:45.750]   say
[00:45:45.750 --> 00:45:46.080]   monkey
[00:45:46.080 --> 00:45:46.640]   monkey
[00:45:46.640 --> 00:45:47.370]   Expect
[00:45:47.370 --> 00:45:47.570]  ing
[00:45:47.570 --> 00:45:47.880]   sir
[00:45:47.880 --> 00:45:48.080]  ,
[00:45:48.080 --> 00:45:48.180]   I
[00:45:48.180 --> 00:45:48.490]   was
[00:45:48.490 --> 00:45:48.900]   like
[00:45:48.900 --> 00:45:49.100]  ,
[00:45:49.100 --> 00:45:49.300]   oh
[00:45:49.300 --> 00:45:49.500]  ,
[00:45:49.500 --> 00:45:49.910]   this
[00:45:49.910 --> 00:45:50.110]   is
[00:45:50.110 --> 00:45:50.620]   gonna
[00:45:50.620 --> 00:45:50.890]   be
[00:45:50.890 --> 00:45:51.320]   good
[00:45:51.320 --> 00:45:51.780]   Gre
[00:45:51.780 --> 00:45:51.800]  ase
[00:45:51.800 --> 00:45:52.240]   monkey
[00:45:52.240 --> 00:45:52.470]   you
[00:45:52.470 --> 00:45:52.700]   say
[00:45:52.700 --> 00:45:53.030]   like
[00:45:53.030 --> 00:45:53.160]   an
[00:45:53.160 --> 00:45:53.800]   American
[00:45:53.800 --> 00:45:53.910]  .
[00:45:53.910 --> 00:45:53.970]   It
[00:45:53.970 --> 00:45:54.040]  's
[00:45:54.040 --> 00:45:54.180]   like
[00:45:54.180 --> 00:45:54.400]   boring
[00:45:54.400 --> 00:45:54.880]   like
[00:45:54.880 --> 00:45:55.140]   oh
[00:45:55.140 --> 00:45:55.260]  ,
[00:45:55.260 --> 00:45:55.720]   well
[00:45:55.720 --> 00:45:55.860]   say
[00:45:55.860 --> 00:45:56.050]   it
[00:45:56.050 --> 00:45:56.100]   say
[00:45:56.100 --> 00:45:56.200]   it
[00:45:56.200 --> 00:45:56.370]   like
[00:45:56.370 --> 00:45:56.410]   an
[00:45:56.410 --> 00:45:56.690]   English
[00:45:56.690 --> 00:45:56.820]   say
[00:45:56.820 --> 00:45:56.910]   it
[00:45:56.910 --> 00:45:57.100]   with
[00:45:57.100 --> 00:45:57.260]   the
[00:45:57.260 --> 00:45:57.580]   English
[00:45:57.580 --> 00:45:58.680]   accent
[00:45:58.680 --> 00:45:59.870]   monkey
[00:45:59.870 --> 00:46:00.260]  ,
[00:46:00.260 --> 00:46:00.680]   no
[00:46:00.680 --> 00:46:00.680]  ,
[00:46:00.680 --> 00:46:00.680]   I
[00:46:02.200 --> 00:46:01.050]   The
[00:46:01.050 --> 00:46:01.290]   line
[00:46:01.290 --> 00:46:01.640]   that
[00:46:01.640 --> 00:46:01.990]   pops
[00:46:01.990 --> 00:46:02.160]   my
[00:46:02.160 --> 00:46:02.510]   mind
[00:46:02.510 --> 00:46:02.770]   was
[00:46:02.770 --> 00:46:03.120]   from
[00:46:03.120 --> 00:46:03.470]   this
[00:46:03.470 --> 00:46:03.910]   movie
[00:46:03.910 --> 00:46:04.350]   Speed
[00:46:04.350 --> 00:46:04.500]   R
[00:46:04.500 --> 00:46:04.780]  acer
[00:46:04.780 --> 00:46:04.950]  ,
[00:46:04.950 --> 00:46:05.390]   which
[00:46:05.390 --> 00:46:05.560]   is
[00:46:05.560 --> 00:46:05.910]   like
[00:46:05.910 --> 00:46:06.060]   a
[00:46:06.060 --> 00:46:06.510]   Movie
[00:46:06.510 --> 00:46:06.700]   that
[00:46:06.700 --> 00:46:06.800]   my
[00:46:06.800 --> 00:46:07.070]   kids
[00:46:07.070 --> 00:46:07.340]   have
[00:46:07.340 --> 00:46:07.820]   watched
[00:46:07.820 --> 00:46:07.950]   a
[00:46:07.950 --> 00:46:08.370]   million
[00:46:08.370 --> 00:46:08.710]   times
[00:46:08.710 --> 00:46:08.840]   on
[00:46:08.840 --> 00:46:09.120]   DVD
[00:46:09.120 --> 00:46:09.250]   Right
[00:46:09.250 --> 00:46:09.580]  .
[00:46:09.580 --> 00:46:09.860]   One
[00:46:09.860 --> 00:46:10.040]   thing
[00:46:10.040 --> 00:46:10.150]  ,
[00:46:10.150 --> 00:46:10.320]   you
[00:46:10.320 --> 00:46:10.550]   know
[00:46:10.550 --> 00:46:10.660]   is
[00:46:10.660 --> 00:46:10.890]   when
[00:46:10.890 --> 00:46:11.060]   you
[00:46:11.060 --> 00:46:11.330]   have
[00:46:11.330 --> 00:46:11.550]   kids
[00:46:11.550 --> 00:46:11.750]   they
[00:46:11.750 --> 00:46:12.040]   watch
[00:46:12.040 --> 00:46:12.210]   the
[00:46:12.210 --> 00:46:12.440]   same
[00:46:12.440 --> 00:46:12.800]   damn
[00:46:12.800 --> 00:46:13.000]   Mov
[00:46:13.000 --> 00:46:13.230]  ies
[00:46:13.230 --> 00:46:13.490]   over
[00:46:13.490 --> 00:46:13.670]   and
[00:46:13.670 --> 00:46:13.940]   over
[00:46:13.940 --> 00:46:14.280]   again
[00:46:14.280 --> 00:46:14.550]   like
[00:46:14.550 --> 00:46:14.890]   Monst
[00:46:14.890 --> 00:46:15.110]  ers
[00:46:15.110 --> 00:46:15.290]   Inc
[00:46:15.290 --> 00:46:15.490]   and
[00:46:15.490 --> 00:46:15.890]   Little
[00:46:15.890 --> 00:46:16.110]   M
[00:46:16.110 --> 00:46:16.370]  ermaid
[00:46:16.370 --> 00:46:16.570]   and
[00:46:16.570 --> 00:46:16.940]   stuff
[00:46:16.940 --> 00:46:17.110]   and
[00:46:17.110 --> 00:46:17.310]   you
[00:46:17.310 --> 00:46:17.510]  'll
[00:46:17.510 --> 00:46:17.780]   just
[00:46:17.780 --> 00:46:18.190]   really
[00:46:18.190 --> 00:46:18.740]   memorize
[00:46:18.740 --> 00:46:19.160]   them
[00:46:19.160 --> 00:46:19.220]   I
[00:46:19.220 --> 00:46:19.830]   memorized
[00:46:19.830 --> 00:46:20.380]   monsters
[00:46:20.380 --> 00:46:20.790]   versus
[00:46:20.790 --> 00:46:21.200]   aliens
[00:46:21.200 --> 00:46:21.400]   and
[00:46:21.400 --> 00:46:21.450]   a
[00:46:21.450 --> 00:46:21.590]   be
[00:46:21.590 --> 00:46:21.650]   I
[00:46:21.650 --> 00:46:22.010]   guess
[00:46:22.010 --> 00:46:22.190]   you
[00:46:22.190 --> 00:46:22.390]  're
[00:46:22.390 --> 00:46:22.870]   talking
[00:46:22.870 --> 00:46:23.210]   about
[00:46:23.210 --> 00:46:23.480]   like
[00:46:23.480 --> 00:46:23.540]   a
[00:46:23.540 --> 00:46:23.790]   like
[00:46:23.790 --> 00:46:24.010]   a
[00:46:24.010 --> 00:46:24.400]   monkey
[00:46:24.400 --> 00:46:43.640]   Yeah
[00:46:43.640 --> 00:46:05.710]  ,
[00:46:05.710 --> 00:46:11.030]   and
[00:46:11.030 --> 00:46:14.600]   it
[00:46:14.600 --> 00:46:19.950]   was
[00:46:19.950 --> 00:46:27.120]   like
[00:46:27.480 --> 00:46:27.480]  
[00:46:27.480 --> 00:46:27.570]   Tr
[00:46:27.570 --> 00:46:27.770]  acer
[00:46:27.770 --> 00:46:27.850]  ,
[00:46:27.850 --> 00:46:27.990]   you
[00:46:27.990 --> 00:46:28.180]   know
[00:46:28.180 --> 00:46:28.270]  ,
[00:46:28.270 --> 00:46:28.460]   they
[00:46:28.460 --> 00:46:28.650]   have
[00:46:28.650 --> 00:46:28.840]   like
[00:46:28.840 --> 00:46:28.930]   a
[00:46:28.930 --> 00:46:29.160]   little
[00:46:29.160 --> 00:46:29.480]   monkey
[00:46:29.480 --> 00:46:29.670]   is
[00:46:29.670 --> 00:46:29.860]   is
[00:46:29.860 --> 00:46:30.140]   the
[00:46:30.140 --> 00:46:30.580]   kids
[00:46:30.580 --> 00:46:31.120]   friend
[00:46:31.120 --> 00:46:31.160]   I
[00:46:31.160 --> 00:46:31.410]   forget
[00:46:31.410 --> 00:46:31.530]   his
[00:46:31.530 --> 00:46:31.720]   name
[00:46:31.720 --> 00:46:32.100]   and
[00:46:32.100 --> 00:46:32.350]   he
[00:46:32.350 --> 00:46:32.600]  's
[00:46:32.600 --> 00:46:33.120]   like
[00:46:33.120 --> 00:46:33.160]   in
[00:46:33.160 --> 00:46:33.260]   the
[00:46:33.260 --> 00:46:33.340]   in
[00:46:33.340 --> 00:46:33.540]   like
[00:46:33.540 --> 00:46:33.740]   they
[00:46:33.740 --> 00:46:33.950]   were
[00:46:33.950 --> 00:46:34.140]   like
[00:46:34.140 --> 00:46:34.270]   in
[00:46:34.270 --> 00:46:34.290]   a
[00:46:34.290 --> 00:46:34.570]   fight
[00:46:34.570 --> 00:46:34.740]   with
[00:46:34.740 --> 00:46:34.890]   the
[00:46:34.890 --> 00:46:35.040]   bad
[00:46:35.040 --> 00:46:35.320]   guys
[00:46:35.320 --> 00:46:35.420]   in
[00:46:35.420 --> 00:46:35.570]   the
[00:46:35.570 --> 00:46:35.780]   back
[00:46:35.780 --> 00:46:35.890]   I
[00:46:35.890 --> 00:46:36.240]   say
[00:46:36.240 --> 00:46:36.590]   get
[00:46:36.590 --> 00:46:37.060]   that
[00:46:37.060 --> 00:46:37.780]   monkey
[00:46:37.780 --> 00:46:38.300]   That
[00:46:38.300 --> 00:46:38.560]   is
[00:46:38.560 --> 00:46:39.080]   what
[00:46:39.080 --> 00:46:39.610]  's
[00:46:39.610 --> 00:46:39.990]   going
[00:46:39.990 --> 00:46:40.250]   at
[00:46:40.250 --> 00:46:40.660]   the
[00:46:40.660 --> 00:46:41.820]   beginning
[00:46:41.820 --> 00:46:42.080]   of
[00:46:42.080 --> 00:46:42.470]   the
[00:46:42.470 --> 00:46:43.040]   show
[00:46:43.040 --> 00:46:45.870]   So
[00:46:45.870 --> 00:46:54.360]   anyway
[00:46:54.360 --> 00:46:54.360]  
[00:46:54.360 --> 00:46:54.510]   Can
[00:46:54.510 --> 00:46:54.610]   we
[00:46:54.610 --> 00:46:54.810]   stop
[00:46:54.810 --> 00:46:55.160]   talking
[00:46:55.160 --> 00:46:55.410]   about
[00:46:55.410 --> 00:46:55.760]   monkeys
[00:46:55.760 --> 00:46:55.910]   now
[00:46:55.910 --> 00:46:56.010]  ,
[00:46:56.010 --> 00:46:56.310]   please
[00:46:56.310 --> 00:46:56.360]   I
[00:46:56.360 --> 00:46:56.460]  'm
[00:46:56.460 --> 00:46:56.660]   over
[00:46:56.660 --> 00:46:56.810]   the
[00:46:56.810 --> 00:46:57.100]   mixing
[00:46:57.100 --> 00:46:57.210]   it
[00:46:57.210 --> 00:46:57.310]  's
[00:46:57.310 --> 00:46:57.660]   getting
[00:46:57.660 --> 00:46:58.280]   embarrassing
[00:46:58.280 --> 00:46:58.550]  .
[00:46:58.550 --> 00:46:58.920]   Okay
[00:46:58.920 --> 00:46:59.730]   move
[00:46:59.730 --> 00:47:00.000]   on
[00:47:00.000 --> 00:47:00.850]   So
[00:47:00.850 --> 00:47:02.080]   yeah
[00:47:02.080 --> 00:47:02.170]  ,
[00:47:02.170 --> 00:47:02.260]   so
[00:47:02.260 --> 00:47:02.400]   you
[00:47:02.400 --> 00:47:02.540]  're
[00:47:02.540 --> 00:47:02.780]   doing
[00:47:02.780 --> 00:47:03.000]   okay
[00:47:03.000 --> 00:47:03.110]  .
[00:47:03.110 --> 00:47:03.180]   So
[00:47:03.180 --> 00:47:03.210]   I
[00:47:03.210 --> 00:47:03.400]   think
[00:47:03.400 --> 00:47:03.430]   I
[00:47:03.430 --> 00:47:03.500]  'm
[00:47:03.500 --> 00:47:03.650]   over
[00:47:03.650 --> 00:47:03.760]   the
[00:47:03.760 --> 00:47:04.000]   whole
[00:47:04.000 --> 00:47:04.440]   book
[00:47:04.440 --> 00:47:04.880]  mark
[00:47:04.880 --> 00:47:05.220]   lit
[00:47:05.220 --> 00:47:05.920]   extension
[00:47:05.920 --> 00:47:06.320]   thing
[00:47:06.320 --> 00:47:06.910]   Although
[00:47:06.910 --> 00:47:07.030]   I
[00:47:07.030 --> 00:47:07.170]   like
[00:47:07.170 --> 00:47:07.370]   the
[00:47:07.370 --> 00:47:07.570]   way
[00:47:07.570 --> 00:47:07.700]   my
[00:47:07.700 --> 00:47:08.230]   favorite
[00:47:08.230 --> 00:47:08.490]   book
[00:47:08.490 --> 00:47:08.880]  mark
[00:47:08.880 --> 00:47:08.930]   lit
[00:47:08.930 --> 00:47:09.010]   is
[00:47:09.010 --> 00:47:09.160]   the
[00:47:09.160 --> 00:47:09.270]   one
[00:47:09.270 --> 00:47:09.440]   that
[00:47:09.440 --> 00:47:09.480]   I
[00:47:09.480 --> 00:47:09.680]   used
[00:47:09.680 --> 00:47:09.980]   to
[00:47:09.980 --> 00:47:10.140]   For
[00:47:10.140 --> 00:47:10.360]   inst
[00:47:10.360 --> 00:47:10.470]  ap
[00:47:10.470 --> 00:47:10.750]  aper
[00:47:10.750 --> 00:47:10.910]   when
[00:47:10.910 --> 00:47:10.960]   I
[00:47:10.960 --> 00:47:11.180]   just
[00:47:11.180 --> 00:47:11.400]   didn
[00:47:11.400 --> 00:47:11.510]  't
[00:47:11.510 --> 00:47:11.740]   read
[00:47:11.740 --> 00:47:12.030]   later
[00:47:12.030 --> 00:47:12.120]   on
[00:47:12.120 --> 00:47:12.280]   the
[00:47:12.280 --> 00:47:12.560]   other
[00:47:12.560 --> 00:47:12.720]   one
[00:47:12.720 --> 00:47:12.840]  ,
[00:47:12.840 --> 00:47:12.940]   of
[00:47:12.940 --> 00:47:13.270]   course
[00:47:13.270 --> 00:47:13.430]   for
[00:47:13.430 --> 00:47:13.710]   print
[00:47:13.710 --> 00:47:14.260]   friendly
[00:47:14.260 --> 00:47:14.480]   You
[00:47:14.480 --> 00:47:14.800]   like
[00:47:14.800 --> 00:47:15.340]   that
[00:47:15.340 --> 00:47:15.380]   you
[00:47:15.380 --> 00:47:15.650]   like
[00:47:15.650 --> 00:47:15.960]   that
[00:47:15.960 --> 00:47:16.480]   Taylor
[00:47:16.480 --> 00:47:16.600]  .
[00:47:16.600 --> 00:47:16.630]   I
[00:47:16.630 --> 00:47:16.730]   gave
[00:47:16.730 --> 00:47:16.820]   you
[00:47:16.820 --> 00:47:16.850]   a
[00:47:16.850 --> 00:47:17.040]   little
[00:47:17.040 --> 00:47:17.200]   shout
[00:47:17.200 --> 00:47:17.350]   out
[00:47:17.350 --> 00:47:17.450]   there
[00:47:17.450 --> 00:47:17.540]   for
[00:47:17.540 --> 00:47:17.720]   free
[00:47:17.720 --> 00:47:18.280]   print
[00:47:18.280 --> 00:47:18.720]   friendly
[00:47:18.720 --> 00:47:19.100]   everybody
[00:47:19.100 --> 00:47:19.300]   print
[00:47:19.300 --> 00:47:19.660]   friendly
[00:47:19.660 --> 00:47:20.320]   calm
[00:47:20.320 --> 00:47:20.320]  
[00:47:20.320 --> 00:47:20.640]   That
[00:47:20.640 --> 00:47:20.790]  's
[00:47:20.790 --> 00:47:21.210]   right
[00:47:21.210 --> 00:47:21.440]  .
[00:47:21.440 --> 00:47:21.500]   I
[00:47:21.500 --> 00:47:21.650]  'm
[00:47:21.650 --> 00:47:22.120]   trying
[00:47:22.120 --> 00:47:22.320]   to
[00:47:22.320 --> 00:47:22.510]   make
[00:47:22.510 --> 00:47:22.550]   a
[00:47:22.550 --> 00:47:22.790]   press
[00:47:22.790 --> 00:47:23.180]   designer
[00:47:23.180 --> 00:47:23.370]   just
[00:47:23.370 --> 00:47:23.410]   a
[00:47:23.410 --> 00:47:23.700]   little
[00:47:23.700 --> 00:47:23.890]   less
[00:47:23.890 --> 00:47:24.400]   depressed
[00:47:24.400 --> 00:47:24.980]  .
[00:47:24.980 --> 00:47:25.240]   Hmm
[00:47:25.240 --> 00:47:25.320]   He
[00:47:25.320 --> 00:47:25.630]   said
[00:47:25.630 --> 00:47:25.880]   depressed
[00:47:25.880 --> 00:47:26.100]   every
[00:47:26.100 --> 00:47:26.290]   time
[00:47:26.290 --> 00:47:26.310]   I
[00:47:26.310 --> 00:47:26.570]   talked
[00:47:26.570 --> 00:47:26.660]   to
[00:47:26.660 --> 00:47:26.840]   him
[00:47:26.840 --> 00:47:26.860]   on
[00:47:26.860 --> 00:47:26.990]   the
[00:47:26.990 --> 00:47:27.280]   phone
[00:47:27.280 --> 00:47:27.420]   He
[00:47:27.420 --> 00:47:27.470]  's
[00:47:27.470 --> 00:47:28.000]   like
[00:47:28.000 --> 00:47:28.260]   hello
[00:47:28.260 --> 00:47:28.830]   Justin
[00:47:28.830 --> 00:47:28.930]   was
[00:47:28.930 --> 00:47:29.080]   it
[00:47:29.080 --> 00:47:29.760]   depressed
[00:47:29.760 --> 00:47:30.010]   or
[00:47:30.010 --> 00:47:30.060]   is
[00:47:30.060 --> 00:47:30.210]   he
[00:47:30.210 --> 00:47:30.510]   just
[00:47:30.510 --> 00:47:30.960]   boring
[00:47:30.960 --> 00:47:31.240]  ?
[00:47:31.240 --> 00:47:31.670]   What
[00:47:31.670 --> 00:47:31.790]  's
[00:47:31.790 --> 00:47:32.180]   going
[00:47:32.180 --> 00:47:32.300]   on
[00:47:32.300 --> 00:47:32.560]  ?
[00:47:32.560 --> 00:47:32.760]   He
[00:47:32.760 --> 00:47:32.760]  's
[00:47:32.760 --> 00:47:33.070]   like
[00:47:33.070 --> 00:47:33.110]   my
[00:47:33.110 --> 00:47:33.170]   is
[00:47:33.170 --> 00:47:33.380]   like
[00:47:33.380 --> 00:47:33.700]   Marvin
[00:47:33.700 --> 00:47:33.910]   from
[00:47:33.910 --> 00:47:34.080]   the
[00:47:34.080 --> 00:47:34.120]   H
[00:47:34.120 --> 00:47:34.330]  itch
[00:47:34.330 --> 00:47:34.380]  h
[00:47:34.380 --> 00:47:34.590]  iker
[00:47:34.590 --> 00:47:34.700]  's
[00:47:34.700 --> 00:47:34.960]   Guide
[00:47:34.960 --> 00:47:35.060]   to
[00:47:35.060 --> 00:47:35.220]   the
[00:47:35.220 --> 00:47:35.550]   Galaxy
[00:47:35.550 --> 00:47:35.700]  .
[00:47:35.700 --> 00:47:35.800]   He
[00:47:35.800 --> 00:47:35.900]  's
[00:47:35.900 --> 00:47:36.350]   bringing
[00:47:36.350 --> 00:47:36.490]   you
[00:47:36.490 --> 00:47:36.880]   down
[00:47:36.880 --> 00:47:37.060]   You
[00:47:37.060 --> 00:47:37.090]   know
[00:47:37.090 --> 00:47:37.430]  ,
[00:47:37.430 --> 00:47:37.840]   you
[00:47:37.840 --> 00:47:37.860]   know
[00:47:37.860 --> 00:47:38.230]   Marvin
[00:47:38.230 --> 00:47:38.490]   from
[00:47:38.490 --> 00:47:38.660]   the
[00:47:38.660 --> 00:47:38.720]   H
[00:47:38.720 --> 00:47:39.000]  itch
[00:47:39.000 --> 00:47:39.030]  h
[00:47:39.030 --> 00:47:39.280]  iker
[00:47:39.280 --> 00:47:39.390]  's
[00:47:39.390 --> 00:47:39.740]   Guide
[00:47:39.740 --> 00:47:39.830]   to
[00:47:39.830 --> 00:47:40.010]   the
[00:47:40.010 --> 00:47:40.380]   Galaxy
[00:47:40.380 --> 00:47:40.560]   the
[00:47:40.560 --> 00:47:40.960]   robot
[00:47:40.960 --> 00:47:41.100]  .
[00:47:41.100 --> 00:47:41.190]   Uh
[00:47:41.190 --> 00:47:41.230]  -
[00:47:41.230 --> 00:47:41.400]  huh
[00:47:41.400 --> 00:47:41.580]  .
[00:47:41.580 --> 00:47:41.650]   He
[00:47:41.650 --> 00:47:41.830]  's
[00:47:41.830 --> 00:47:41.850]   so
[00:47:41.850 --> 00:47:42.390]   depressed
[00:47:42.390 --> 00:47:42.820]  .
[00:47:42.820 --> 00:47:43.040]   Yes
[00:47:43.040 --> 00:47:43.350]   the
[00:47:43.350 --> 00:47:43.860]   depressed
[00:47:43.860 --> 00:47:44.220]   robot
[00:47:44.220 --> 00:47:44.430]   Life
[00:47:44.430 --> 00:47:44.780]  's
[00:47:44.780 --> 00:47:44.890]   really
[00:47:44.890 --> 00:47:45.060]   bad
[00:47:45.060 --> 00:47:45.230]  .
[00:47:45.230 --> 00:47:45.450]   Yeah
[00:47:45.450 --> 00:47:45.560]  ,
[00:47:45.560 --> 00:47:45.670]   it
[00:47:45.670 --> 00:47:45.790]  's
[00:47:45.790 --> 00:47:46.110]   kind
[00:47:46.110 --> 00:47:46.120]   of
[00:47:46.120 --> 00:47:46.420]   like
[00:47:46.420 --> 00:47:46.550]   what
[00:47:46.550 --> 00:47:46.690]   is
[00:47:46.690 --> 00:47:47.060]   talking
[00:47:47.060 --> 00:47:47.230]   and
[00:47:47.230 --> 00:47:47.640]   talking
[00:47:47.640 --> 00:47:47.740]   to
[00:47:47.740 --> 00:47:48.080]   Taylor
[00:47:48.080 --> 00:47:48.130]   I
[00:47:48.130 --> 00:47:48.520]   think
[00:47:48.520 --> 00:47:48.600]  
[00:47:48.600 --> 00:47:50.520]   Okay
[00:47:50.520 --> 00:47:50.730]   No
[00:47:50.730 --> 00:47:50.940]   fr
[00:47:50.940 --> 00:47:51.150]  ag
[00:47:51.150 --> 00:47:51.570]  ging
[00:47:51.570 --> 00:47:51.780]   on
[00:47:51.780 --> 00:47:52.110]   the
[00:47:52.110 --> 00:47:53.080]   depressed
[00:47:53.080 --> 00:47:53.490]   head
[00:47:53.490 --> 00:47:53.640]   designer
[00:47:53.640 --> 00:47:53.960]   voices
[00:47:53.960 --> 00:47:54.320]   Okay
[00:47:54.320 --> 00:47:54.440]   So
[00:47:54.440 --> 00:47:54.580]   one
[00:47:54.580 --> 00:47:54.850]   thing
[00:47:54.850 --> 00:47:55.110]   that
[00:47:55.110 --> 00:47:55.110]   I
[00:47:55.110 --> 00:47:55.270]  've
[00:47:55.270 --> 00:47:55.480]   been
[00:47:55.480 --> 00:47:55.860]   meaning
[00:47:55.860 --> 00:47:55.970]   to
[00:47:55.970 --> 00:47:56.230]   bring
[00:47:56.230 --> 00:47:56.370]   up
[00:47:56.370 --> 00:47:56.530]   for
[00:47:56.530 --> 00:47:56.540]   a
[00:47:56.540 --> 00:47:56.700]   few
[00:47:56.700 --> 00:47:57.050]   shows
[00:47:57.050 --> 00:47:57.070]   is
[00:47:57.070 --> 00:47:57.120]   a
[00:47:57.120 --> 00:47:57.490]   website
[00:47:57.490 --> 00:47:57.820]   called
[00:47:57.820 --> 00:47:57.980]   the
[00:47:57.980 --> 00:47:58.540]   startup
[00:47:58.540 --> 00:47:58.930]   toolkit
[00:47:58.930 --> 00:47:59.340]   calm
[00:47:59.340 --> 00:48:00.110]   And
[00:48:00.110 --> 00:48:00.550]   basically
[00:48:00.550 --> 00:48:00.750]   it
[00:48:00.750 --> 00:48:00.810]   is
[00:48:00.810 --> 00:48:01.400]   a
[00:48:01.400 --> 00:48:01.590]   quick
[00:48:01.590 --> 00:48:02.060]   place
[00:48:02.060 --> 00:48:02.260]   to
[00:48:02.260 --> 00:48:02.750]   write
[00:48:02.750 --> 00:48:03.200]   down
[00:48:03.200 --> 00:48:03.380]   what
[00:48:03.380 --> 00:48:03.650]   really
[00:48:03.650 --> 00:48:03.950]   matters
[00:48:03.950 --> 00:48:04.180]   about
[00:48:04.180 --> 00:48:04.380]   your
[00:48:04.380 --> 00:48:04.700]   startup
[00:48:04.700 --> 00:48:05.320]   For
[00:48:05.320 --> 00:48:05.390]   founders
[00:48:05.390 --> 00:48:05.510]   in
[00:48:05.510 --> 00:48:05.890]   search
[00:48:05.890 --> 00:48:06.010]   of
[00:48:06.010 --> 00:48:06.070]   a
[00:48:06.070 --> 00:48:06.600]   business
[00:48:06.600 --> 00:48:06.920]   model
[00:48:06.920 --> 00:48:07.200]  .
[00:48:07.200 --> 00:48:07.550]   So
[00:48:07.550 --> 00:48:07.720]   basically
[00:48:07.720 --> 00:48:07.890]   you
[00:48:07.890 --> 00:48:08.100]   can
[00:48:08.100 --> 00:48:08.520]   visually
[00:48:08.520 --> 00:48:08.980]   document
[00:48:08.980 --> 00:48:09.220]   your
[00:48:09.220 --> 00:48:09.670]   evolving
[00:48:09.670 --> 00:48:10.200]   business
[00:48:10.200 --> 00:48:11.100]   hypothesis
[00:48:11.100 --> 00:48:11.620]   Okay
[00:48:11.620 --> 00:48:11.680]  ,
[00:48:11.680 --> 00:48:11.880]   the
[00:48:11.880 --> 00:48:12.490]   startup
[00:48:12.490 --> 00:48:13.100]   toolkit
[00:48:13.100 --> 00:48:13.450]   calm
[00:48:13.450 --> 00:48:13.990]   check
[00:48:13.990 --> 00:48:14.060]   it
[00:48:14.060 --> 00:48:14.360]   out
[00:48:14.360 --> 00:48:14.480]  .
[00:48:14.480 --> 00:48:14.930]   Is
[00:48:14.930 --> 00:48:15.160]   that
[00:48:15.160 --> 00:48:15.320]   it
[00:48:15.320 --> 00:48:15.320]  ?
[00:48:16.000 --> 00:48:16.260]  
[00:48:16.260 --> 00:48:16.270]   That
[00:48:16.270 --> 00:48:16.390]  's
[00:48:16.390 --> 00:48:16.590]   all
[00:48:16.590 --> 00:48:16.650]   I
[00:48:16.650 --> 00:48:16.850]   got
[00:48:16.850 --> 00:48:16.980]   it
[00:48:16.980 --> 00:48:17.180]  .
[00:48:17.180 --> 00:48:17.440]   That
[00:48:17.440 --> 00:48:17.630]  's
[00:48:17.630 --> 00:48:17.830]   that
[00:48:17.830 --> 00:48:17.960]  's
[00:48:17.960 --> 00:48:18.240]   that
[00:48:18.240 --> 00:48:18.350]  's
[00:48:18.350 --> 00:48:18.440]   a
[00:48:18.440 --> 00:48:18.740]   check
[00:48:18.740 --> 00:48:18.870]   it
[00:48:18.870 --> 00:48:19.070]   out
[00:48:19.070 --> 00:48:19.400]   topic
[00:48:19.400 --> 00:48:19.830]  .
[00:48:19.830 --> 00:48:19.860]   Yeah
[00:48:19.860 --> 00:48:20.120]  ,
[00:48:20.120 --> 00:48:20.320]   check
[00:48:20.320 --> 00:48:20.450]   it
[00:48:20.450 --> 00:48:20.650]   out
