
[00:00:00.000 --> 00:00:00.500]  
[00:00:00.500 --> 00:00:00.520]   A
[00:44:23.070 --> 00:44:23.210]  's
[00:44:23.210 --> 00:44:23.510]   like
[00:44:23.510 --> 00:44:23.950]   37
[00:44:23.950 --> 00:44:24.180]   now
[00:44:24.180 --> 00:44:24.310]  ,
[00:44:24.310 --> 00:44:24.530]   and
[00:44:24.530 --> 00:44:24.670]  --
[00:44:24.670 --> 00:44:24.740]   -
[00:44:24.740 --> 00:44:25.040]   Okay
[00:44:25.040 --> 00:44:25.320]  .
[00:44:25.320 --> 00:44:25.320]  
[00:44:25.320 --> 00:44:25.360]   -
[00:44:25.360 --> 00:44:25.450]   He
[00:44:25.450 --> 00:44:25.570]   has
[00:44:25.570 --> 00:44:25.620]   a
[00:44:25.620 --> 00:44:25.890]   baby
[00:44:25.890 --> 00:44:25.940]  ,
[00:44:25.940 --> 00:44:26.020]   and
[00:44:26.020 --> 00:44:26.200]   yeah
[00:44:26.200 --> 00:44:26.290]  ,
[00:44:26.290 --> 00:44:26.330]   I
[00:44:26.330 --> 00:44:26.510]   mean
[00:44:26.510 --> 00:44:26.600]  ,
[00:44:26.600 --> 00:44:26.690]   he
[00:44:26.690 --> 00:44:26.780]  's
[00:44:26.780 --> 00:44:26.960]   that
[00:44:26.960 --> 00:44:27.180]   young
[00:44:27.180 --> 00:44:27.380]  .
[00:44:27.380 --> 00:44:27.440]   So
[00:44:27.440 --> 00:44:27.910]   he
[00:44:27.910 --> 00:44:27.930]  's
[00:44:27.930 --> 00:44:28.280]   like
[00:44:28.280 --> 00:44:28.520]   trying
[00:44:28.520 --> 00:44:28.600]   to
[00:44:28.600 --> 00:44:28.640]   get
[00:44:28.640 --> 00:44:28.790]   himself
[00:44:28.790 --> 00:44:28.920]   back
[00:44:28.920 --> 00:44:29.010]   in
[00:44:29.010 --> 00:44:29.250]   shape
[00:44:29.250 --> 00:44:29.390]  .
[00:44:29.390 --> 00:44:29.480]   So
[00:44:29.480 --> 00:44:29.570]   he
[00:44:29.570 --> 00:44:29.750]   lost
[00:44:29.750 --> 00:44:29.770]   a
[00:44:29.770 --> 00:44:30.140]   good
[00:44:30.140 --> 00:44:30.280]   amount
[00:44:30.280 --> 00:44:30.370]   of
[00:44:30.370 --> 00:44:30.700]   weight
[00:44:30.700 --> 00:44:30.750]  ,
[00:44:30.750 --> 00:44:30.890]   and
[00:44:30.890 --> 00:44:30.980]   he
[00:44:30.980 --> 00:44:31.070]  's
[00:44:31.070 --> 00:44:31.490]   thinking
[00:44:31.490 --> 00:44:31.640]  ,
[00:44:31.640 --> 00:44:31.660]   "
[00:44:31.660 --> 00:44:31.770]  Ah
[00:44:31.770 --> 00:44:31.820]  ,"
[00:44:31.820 --> 00:44:31.910]   you
[00:44:31.910 --> 00:44:32.030]   know
[00:44:32.030 --> 00:44:32.120]  ,
[00:44:32.120 --> 00:44:32.600]   and
[00:44:32.600 --> 00:44:32.690]   he
[00:44:32.690 --> 00:44:33.080]   had
[00:44:33.080 --> 00:44:33.600]   damaged
[00:44:33.600 --> 00:44:33.820]   his
[00:44:33.820 --> 00:44:34.040]   Ach
[00:44:34.040 --> 00:44:34.740]  illes
[00:44:34.740 --> 00:44:34.850]   really
[00:44:34.850 --> 00:44:35.220]   badly
[00:44:35.220 --> 00:44:35.360]  ,
[00:44:35.360 --> 00:44:35.510]   so
[00:44:35.510 --> 00:44:35.660]   he
[00:44:35.660 --> 00:44:35.880]   was
[00:44:35.880 --> 00:44:36.170]   like
[00:44:36.170 --> 00:44:36.310]  ,
[00:44:36.310 --> 00:44:36.600]   tore
[00:44:36.600 --> 00:44:36.950]   up
[00:44:36.950 --> 00:44:37.490]   completely
[00:44:37.490 --> 00:44:37.800]  .
[00:44:37.800 --> 00:44:38.060]   So
[00:44:38.060 --> 00:44:38.060]   he
[00:44:38.060 --> 00:44:38.280]   was
[00:44:38.280 --> 00:44:38.510]   out
[00:44:38.510 --> 00:44:38.600]   of
[00:44:38.600 --> 00:44:38.840]   sports
[00:44:38.840 --> 00:44:38.920]   for
[00:44:38.920 --> 00:44:39.000]   a
[00:44:39.000 --> 00:44:39.310]   couple
[00:44:39.310 --> 00:44:39.570]   years
[00:44:39.570 --> 00:44:39.670]  ,
[00:44:39.670 --> 00:44:39.770]   so
[00:44:39.770 --> 00:44:39.990]   now
[00:44:39.990 --> 00:44:40.020]   he
[00:44:40.020 --> 00:44:40.120]  's
[00:44:40.120 --> 00:44:40.320]   kind
[00:44:40.320 --> 00:44:40.420]   of
[00:44:40.420 --> 00:44:40.880]   gradually
[00:44:40.880 --> 00:44:41.240]   getting
[00:44:41.240 --> 00:44:41.310]   back
[00:44:41.310 --> 00:44:41.540]   in
[00:44:41.540 --> 00:44:41.690]  .
[00:44:41.690 --> 00:44:41.840]   So
[00:44:41.840 --> 00:44:41.940]   I
[00:44:41.940 --> 00:44:42.040]   sent
[00:44:42.040 --> 00:44:42.190]   him
[00:44:42.190 --> 00:44:42.240]   a
[00:44:42.240 --> 00:44:42.390]   big
[00:44:42.390 --> 00:44:42.600]  ,
[00:44:42.600 --> 00:44:42.840]   long
[00:44:42.840 --> 00:44:43.160]   list
[00:44:43.160 --> 00:44:43.180]   of
[00:44:43.180 --> 00:44:43.470]   links
[00:44:43.470 --> 00:44:43.580]  ,
[00:44:43.580 --> 00:44:43.750]   and
[00:44:43.750 --> 00:44:43.980]   also
[00:44:43.980 --> 00:44:44.210]   said
[00:44:44.210 --> 00:44:44.320]  ,
[00:44:44.320 --> 00:44:44.370]   "
[00:44:44.370 --> 00:44:44.600]  Here
[00:44:44.600 --> 00:44:44.720]  's
[00:44:44.720 --> 00:44:44.820]   my
[00:44:44.820 --> 00:44:45.400]   suggested
[00:44:45.400 --> 00:44:45.680]   program
[00:44:45.680 --> 00:44:45.800]  ,"
[00:44:45.800 --> 00:44:45.860]   and
[00:44:45.860 --> 00:44:45.960]   then
[00:44:45.960 --> 00:44:46.040]   we
[00:44:46.040 --> 00:44:46.200]   went
[00:44:46.200 --> 00:44:46.280]   to
[00:44:46.280 --> 00:44:46.670]   breakfast
[00:44:46.670 --> 00:44:46.680]  ,
[00:44:46.680 --> 00:44:46.780]   and
[00:44:46.780 --> 00:44:46.810]   I
[00:44:46.810 --> 00:44:46.950]   said
[00:44:46.950 --> 00:44:47.020]  ,
[00:44:47.020 --> 00:44:47.050]   "
[00:44:47.050 --> 00:44:47.150]  All
[00:44:47.150 --> 00:44:47.330]   right
[00:44:47.330 --> 00:44:47.470]  ."
[00:44:47.470 --> 00:44:47.610]   So
[00:44:47.610 --> 00:44:47.740]   he
[00:44:47.740 --> 00:44:47.750]   told
[00:44:47.750 --> 00:44:47.820]   me
[00:44:47.820 --> 00:44:47.920]   the
[00:44:47.920 --> 00:44:48.100]   stuff
[00:44:48.100 --> 00:44:48.170]   he
[00:44:48.170 --> 00:44:48.270]   was
[00:44:48.270 --> 00:44:48.450]   doing
[00:44:48.450 --> 00:44:48.600]  ,
[00:44:48.600 --> 00:44:48.690]   and
[00:44:48.690 --> 00:44:48.840]   stuff
[00:44:48.840 --> 00:44:49.070]   that
[00:44:49.070 --> 00:44:49.090]   was
[00:44:49.090 --> 00:44:49.160]  --
[00:44:49.160 --> 00:44:49.190]   -
[00:44:49.190 --> 00:44:49.220]   I
[00:44:49.220 --> 00:44:49.440]   thought
[00:44:49.440 --> 00:44:49.500]   it
[00:44:49.500 --> 00:44:49.600]   was
[00:44:49.600 --> 00:44:49.650]   in
[00:44:49.650 --> 00:44:49.730]   San
[00:44:49.730 --> 00:44:50.020]   Francisco
[00:44:50.020 --> 00:44:50.160]   you
[00:44:50.160 --> 00:44:50.200]   met
[00:44:50.200 --> 00:44:50.290]   him
[00:44:50.290 --> 00:44:50.440]  .
[00:44:50.440 --> 00:44:50.470]   -
[00:44:50.470 --> 00:44:50.600]   Yeah
[00:44:50.600 --> 00:44:50.680]  ,
[00:44:50.680 --> 00:44:50.780]   we
[00:44:50.780 --> 00:44:50.930]   had
[00:44:50.930 --> 00:44:51.420]   breakfast
[00:44:51.420 --> 00:44:51.480]  ,
[00:44:51.480 --> 00:44:51.640]   and
[00:44:51.640 --> 00:44:51.690]   I
[00:44:51.690 --> 00:44:51.950]   said
[00:44:51.950 --> 00:44:52.040]  ,
[00:44:52.040 --> 00:44:52.040]  
[00:44:52.040 --> 00:44:52.100]   "
[00:44:52.100 --> 00:44:52.270]  All
[00:44:52.270 --> 00:44:52.570]   right
[00:44:52.570 --> 00:44:52.680]  ,
[00:44:52.680 --> 00:44:53.090]   all
[00:44:53.090 --> 00:44:53.160]   right
[00:44:53.160 --> 00:44:53.510]  ,
[00:44:53.510 --> 00:44:53.510]   like
[00:44:53.510 --> 00:44:53.610]  ,
[00:44:53.610 --> 00:44:53.800]   don
[00:44:53.800 --> 00:44:53.910]  't
[00:44:53.910 --> 00:44:54.180]   do
[00:44:54.180 --> 00:44:54.270]   that
[00:44:54.270 --> 00:44:54.440]  .
[00:44:54.440 --> 00:44:54.680]   Like
[00:44:54.680 --> 00:44:54.790]  ,
[00:44:54.790 --> 00:44:55.130]   trust
[00:44:55.130 --> 00:44:55.210]   me
[00:44:55.210 --> 00:44:55.400]  ,
[00:44:55.400 --> 00:44:55.800]   just
[00:44:55.800 --> 00:44:56.000]   do
[00:44:56.000 --> 00:44:56.610]   squats
[00:44:56.610 --> 00:44:56.940]   and
[00:44:56.940 --> 00:44:57.080]   do
[00:44:57.080 --> 00:44:57.170]   this
[00:44:57.170 --> 00:44:57.240]  ,"
[00:44:57.240 --> 00:44:57.300]   and
[00:44:57.300 --> 00:44:57.340]   he
[00:44:57.340 --> 00:44:57.450]  's
[00:44:57.450 --> 00:44:57.460]   like
[00:44:57.460 --> 00:44:57.500]  ,
[00:44:57.500 --> 00:44:57.520]   "
[00:44:57.520 --> 00:44:57.580]  You
[00:44:57.580 --> 00:44:57.640]  're
[00:44:57.640 --> 00:44:57.770]   right
[00:44:57.770 --> 00:44:57.800]  ,
[00:44:57.800 --> 00:44:57.890]   you
[00:44:57.890 --> 00:44:57.970]  're
[00:44:57.970 --> 00:44:58.210]   right
[00:44:58.210 --> 00:44:58.220]  .
[00:44:58.220 --> 00:44:58.250]   I
[00:44:58.250 --> 00:44:58.310]  'm
[00:44:58.310 --> 00:44:58.460]   gonna
[00:44:58.460 --> 00:44:58.610]   stick
[00:44:58.610 --> 00:44:58.720]   to
[00:44:58.720 --> 00:44:58.760]   the
[00:44:58.760 --> 00:44:58.940]   basics
[00:44:58.940 --> 00:44:59.080]  ."
[00:44:59.080 --> 00:45:00.040]   People
[00:45:00.040 --> 00:45:00.270]   get
[00:45:00.270 --> 00:45:00.440]   too
[00:45:00.440 --> 00:45:00.600]   cute
[00:45:00.600 --> 00:45:00.600]  ,
[00:45:00.600 --> 00:45:00.680]   and
[00:45:00.680 --> 00:45:00.840]   they
[00:45:00.840 --> 00:45:00.840]   do
[00:45:00.840 --> 00:45:00.920]   all
[00:45:00.920 --> 00:45:01.060]   these
[00:45:01.060 --> 00:45:01.270]   things
[00:45:01.270 --> 00:45:01.350]   that
[00:45:01.350 --> 00:45:01.420]   don
[00:45:01.420 --> 00:45:01.470]  't
[00:45:01.470 --> 00:45:01.640]   really
[00:45:01.640 --> 00:45:01.750]   work
[00:45:01.750 --> 00:45:01.880]  .
[00:45:01.880 --> 00:45:01.900]   But
[00:45:01.900 --> 00:45:02.710]   what
[00:45:02.710 --> 00:45:02.720]  's
[00:45:02.720 --> 00:45:03.190]   funny
[00:45:03.190 --> 00:45:03.460]  ,
[00:45:03.460 --> 00:45:03.460]   it
[00:45:03.460 --> 00:45:03.640]  's
[00:45:03.640 --> 00:45:03.680]   not
[00:45:03.680 --> 00:45:03.820]   that
[00:45:03.820 --> 00:45:03.880]   that
[00:45:03.880 --> 00:45:03.960]   was
[00:45:03.960 --> 00:45:04.390]   hilarious
[00:45:04.390 --> 00:45:04.620]   that
[00:45:04.620 --> 00:45:04.820]   there
[00:45:04.820 --> 00:45:04.960]   was
[00:45:04.960 --> 00:45:05.350]   somebody
[00:45:05.350 --> 00:45:05.530]   else
[00:45:05.530 --> 00:45:05.680]   who
[00:45:05.680 --> 00:45:05.830]   was
[00:45:05.830 --> 00:45:06.020]   just
[00:45:06.020 --> 00:45:06.400]   randomly
[00:45:06.400 --> 00:45:06.630]   gonna
[00:45:06.630 --> 00:45:06.880]   try
[00:45:06.880 --> 00:45:06.920]   to
[00:45:06.920 --> 00:45:07.130]   kill
[00:45:07.130 --> 00:45:07.300]   the
[00:45:07.300 --> 00:45:07.490]   drunk
[00:45:07.490 --> 00:45:07.640]  .
[00:45:07.640 --> 00:45:07.680]   -
[00:45:07.680 --> 00:45:07.860]   That
[00:45:07.860 --> 00:45:07.920]   is
[00:45:07.920 --> 00:45:08.210]   bizarre
[00:45:08.210 --> 00:45:08.360]  .
[00:45:08.360 --> 00:45:08.420]   -
[00:45:08.420 --> 00:45:08.480]   I
[00:45:08.480 --> 00:45:08.700]   mean
[00:45:08.700 --> 00:45:08.840]  ,
[00:45:08.840 --> 00:45:09.000]   I
[00:45:09.000 --> 00:45:10.760]   acknowledge
[00:45:10.760 --> 00:45:10.920]   that
[00:45:10.920 --> 00:45:10.960]   it
[00:45:10.960 --> 00:45:11.000]  's
[00:45:11.000 --> 00:45:11.200]   sort
[00:45:11.200 --> 00:45:11.240]   of
[00:45:11.240 --> 00:45:11.370]   an
[00:45:11.370 --> 00:45:11.780]   absurd
[00:45:11.780 --> 00:45:12.120]   thing
[00:45:12.120 --> 00:45:12.250]   to
[00:45:12.250 --> 00:45:12.380]   do
[00:45:12.380 --> 00:45:12.510]  ,
[00:45:12.510 --> 00:45:12.850]   right
[00:45:12.850 --> 00:45:13.050]  ?
[00:45:13.050 --> 00:45:13.730]   Especially
[00:45:13.730 --> 00:45:13.860]   at
[00:45:13.860 --> 00:45:13.990]   my
[00:45:13.990 --> 00:45:14.190]   age
[00:45:14.190 --> 00:45:14.520]  .
[00:45:14.520 --> 00:45:14.520]   So
[00:45:14.520 --> 00:45:14.860]   to
[00:45:14.860 --> 00:45:14.920]   find
[00:45:14.920 --> 00:45:15.460]   somebody
[00:45:15.460 --> 00:45:15.730]   else
[00:45:15.730 --> 00:45:16.100]   who
[00:45:16.100 --> 00:45:16.200]   wants
[00:45:16.200 --> 00:45:16.280]   to
[00:45:16.280 --> 00:45:16.360]   do
[00:45:16.360 --> 00:45:16.520]   it
[00:45:16.520 --> 00:45:16.520]  ,
[00:45:16.520 --> 00:45:16.520]  
[00:45:16.520 --> 00:45:16.700]   it
[00:45:16.700 --> 00:45:16.940]   just
[00:45:16.940 --> 00:45:17.090]   seems
[00:45:17.090 --> 00:45:17.670]  ,
[00:45:17.670 --> 00:45:17.770]   you
[00:45:17.770 --> 00:45:17.960]   know
[00:45:17.960 --> 00:45:18.100]  ,
[00:45:18.100 --> 00:45:18.380]   just
[00:45:18.380 --> 00:45:18.890]   ridiculous
[00:45:18.890 --> 00:45:19.500]  .
[00:45:19.500 --> 00:45:19.560]   And
[00:45:19.560 --> 00:45:19.850]   then
[00:45:19.850 --> 00:45:19.920]   I
[00:45:19.920 --> 00:45:20.060]  'm
[00:45:20.060 --> 00:45:20.610]   talking
[00:45:20.610 --> 00:45:20.710]   to
[00:45:20.710 --> 00:45:20.850]   Am
[00:45:20.850 --> 00:45:20.990]  os
[00:45:20.990 --> 00:45:21.240]  ,
[00:45:21.240 --> 00:45:21.370]   and
[00:45:21.370 --> 00:45:21.460]   he
[00:45:21.460 --> 00:45:21.560]  's
[00:45:21.560 --> 00:45:21.720]   like
[00:45:21.720 --> 00:45:21.800]  ,
[00:45:21.800 --> 00:45:21.860]   "
[00:45:21.860 --> 00:45:22.140]  Yeah
[00:45:22.140 --> 00:45:22.220]  ,
[00:45:22.220 --> 00:45:22.630]   you
[00:45:22.630 --> 00:45:22.780]   know
[00:45:22.780 --> 00:45:22.950]  ,
[00:45:22.950 --> 00:45:23.060]   my
[00:45:23.060 --> 00:45:23.340]   goal
[00:45:23.340 --> 00:45:23.550]   for
[00:45:23.550 --> 00:45:23.830]   last
[00:45:23.830 --> 00:45:24.110]   year
[00:45:24.110 --> 00:45:24.320]   was
[00:45:24.320 --> 00:45:24.460]   to
[00:45:24.460 --> 00:45:24.740]   dunk
[00:45:24.740 --> 00:45:24.880]  ,
[00:45:24.880 --> 00:45:25.090]   but
[00:45:25.090 --> 00:45:25.160]   I
[00:45:25.160 --> 00:45:25.480]   didn
[00:45:25.480 --> 00:45:25.580]  't
[00:45:25.580 --> 00:45:25.790]   do
[00:45:25.790 --> 00:45:25.860]   it
[00:45:25.860 --> 00:45:26.280]  ."
[00:45:26.280 --> 00:45:26.820]   And
[00:45:26.820 --> 00:45:26.840]   I
[00:45:26.840 --> 00:45:27.020]   thought
[00:45:27.020 --> 00:45:27.080]   he
[00:45:27.080 --> 00:45:27.160]   was
[00:45:27.160 --> 00:45:27.360]   just
[00:45:27.360 --> 00:45:27.800]   having
[00:45:27.800 --> 00:45:27.850]   fun
[00:45:27.850 --> 00:45:28.060]   with
[00:45:28.060 --> 00:45:28.160]   me
[00:45:28.160 --> 00:45:28.320]  .
[00:45:28.320 --> 00:45:28.370]   I
[00:45:28.370 --> 00:45:28.840]   thought
[00:45:28.840 --> 00:45:28.950]   he
[00:45:28.950 --> 00:45:29.000]   was
[00:45:29.000 --> 00:45:29.100]  ,
[00:45:29.100 --> 00:45:29.310]   like
[00:45:29.310 --> 00:45:29.440]  ,
[00:45:29.440 --> 00:45:29.830]   giving
[00:45:29.830 --> 00:45:29.840]   me
[00:45:29.840 --> 00:45:30.140]   shit
[00:45:30.140 --> 00:45:30.300]  ,
[00:45:30.300 --> 00:45:30.510]   you
[00:45:30.510 --> 00:45:30.610]   know
[00:45:30.610 --> 00:45:30.760]  ?
[00:45:30.760 --> 00:45:30.970]   Like
[00:45:30.970 --> 00:45:31.080]  ,
[00:45:31.080 --> 00:45:32.360]   that
[00:45:32.360 --> 00:45:32.520]   was
[00:45:32.520 --> 00:45:32.680]   his
[00:45:32.680 --> 00:45:32.840]   goal
[00:45:32.840 --> 00:45:32.940]   to
[00:45:32.940 --> 00:45:33.150]   dunk
[00:45:33.150 --> 00:45:33.360]  .
[00:45:33.360 --> 00:45:33.360]   I
[00:45:33.360 --> 00:45:33.780]   thought
[00:45:33.780 --> 00:45:34.140]   somehow
[00:45:34.140 --> 00:45:34.220]   he
[00:45:34.220 --> 00:45:34.380]   was
[00:45:34.380 --> 00:45:34.700]   making
[00:45:34.700 --> 00:45:34.860]   fun
[00:45:34.860 --> 00:45:34.960]   of
[00:45:34.960 --> 00:45:35.050]   me
[00:45:35.050 --> 00:45:35.240]  .
[00:45:35.240 --> 00:45:35.450]   -
[00:45:35.450 --> 00:45:35.480]   Yeah
[00:45:35.480 --> 00:45:35.580]  ,
[00:45:35.580 --> 00:45:35.740]   you
[00:45:35.740 --> 00:45:36.010]   would
[00:45:36.010 --> 00:45:36.280]  .
[00:45:36.280 --> 00:45:36.330]   -
[00:45:36.330 --> 00:45:36.520]   But
[00:45:36.520 --> 00:45:36.680]   he
[00:45:36.680 --> 00:45:36.780]  's
[00:45:36.780 --> 00:45:36.880]   like
[00:45:36.880 --> 00:45:37.020]  ,
[00:45:37.020 --> 00:45:37.030]   "
[00:45:37.030 --> 00:45:37.130]  No
[00:45:37.130 --> 00:45:37.230]  ,
[00:45:37.230 --> 00:45:37.380]   but
[00:45:37.380 --> 00:45:37.600]   then
[00:45:37.600 --> 00:45:37.630]   I
[00:45:37.630 --> 00:45:38.040]   realized
[00:45:38.040 --> 00:45:38.200]  ,
[00:45:38.200 --> 00:45:38.410]   wait
[00:45:38.410 --> 00:45:38.600]  ,
[00:45:38.600 --> 00:45:38.640]   no
[00:45:38.640 --> 00:45:38.680]  ,
[00:45:38.680 --> 00:45:38.790]   you
[00:45:38.790 --> 00:45:38.930]   were
[00:45:38.930 --> 00:45:39.160]   really
[00:45:39.160 --> 00:45:39.350]   trying
[00:45:39.350 --> 00:45:39.370]   to
[00:45:39.370 --> 00:45:39.450]   dunk
[00:45:39.450 --> 00:45:39.560]  ?"
[00:45:39.560 --> 00:45:39.620]   He
[00:45:39.620 --> 00:45:39.670]  's
[00:45:39.670 --> 00:45:39.800]   like
[00:45:39.800 --> 00:45:39.880]  ,
[00:45:39.880 --> 00:45:39.910]   "
[00:45:39.910 --> 00:45:40.040]  Yeah
[00:45:40.040 --> 00:45:40.100]  ,
[00:45:40.100 --> 00:45:40.230]   yeah
[00:45:40.230 --> 00:45:40.290]  ,
[00:45:40.290 --> 00:45:40.380]   you
[00:45:40.380 --> 00:45:40.510]   know
[00:45:40.510 --> 00:45:40.570]  ,
[00:45:40.570 --> 00:45:40.600]   I
[00:45:40.600 --> 00:45:40.690]   was
[00:45:40.690 --> 00:45:40.850]   doing
[00:45:40.850 --> 00:45:40.980]   this
[00:45:40.980 --> 00:45:41.080]  ,
[00:45:41.080 --> 00:45:41.130]   and
[00:45:41.130 --> 00:45:41.260]   then
[00:45:41.260 --> 00:45:41.320]   it
[00:45:41.320 --> 00:45:41.450]   wasn
[00:45:41.450 --> 00:45:41.510]  't
[00:45:41.510 --> 00:45:41.740]   working
[00:45:41.740 --> 00:45:41.960]  ."
[00:45:41.960 --> 00:45:42.040]   I
[00:45:42.040 --> 00:45:42.210]  'm
[00:45:42.210 --> 00:45:42.370]   like
[00:45:42.370 --> 00:45:42.760]  ,
[00:45:42.760 --> 00:45:42.760]  
[00:45:42.760 --> 00:45:42.990]   "
[00:45:42.990 --> 00:45:43.150]  Well
[00:45:43.150 --> 00:45:43.260]  ,
[00:45:43.260 --> 00:45:43.350]   dude
[00:45:43.350 --> 00:45:43.760]  ,
[00:45:43.760 --> 00:45:43.870]   I
[00:45:43.870 --> 00:45:44.050]   know
[00:45:44.050 --> 00:45:44.620]   exactly
[00:45:44.620 --> 00:45:44.840]   what
[00:45:44.840 --> 00:45:45.050]   you
[00:45:45.050 --> 00:45:45.480]   needed
[00:45:45.480 --> 00:45:45.620]   to
[00:45:45.620 --> 00:45:45.760]   do
[00:45:45.760 --> 00:45:45.970]  .
[00:45:45.970 --> 00:45:46.260]   What
[00:45:46.260 --> 00:45:46.550]   were
[00:45:46.550 --> 00:45:46.840]   you
[00:45:46.840 --> 00:45:47.040]   trying
[00:45:47.040 --> 00:45:47.160]   to
[00:45:47.160 --> 00:45:47.180]   do
[00:45:47.180 --> 00:45:47.240]  ?"
[00:45:47.240 --> 00:45:47.320]   And
[00:45:47.320 --> 00:45:47.400]   he
[00:45:47.400 --> 00:45:47.560]   starts
[00:45:47.560 --> 00:45:47.790]   telling
[00:45:47.790 --> 00:45:47.850]   me
[00:45:47.850 --> 00:45:47.910]  ,
[00:45:47.910 --> 00:45:47.940]   I
[00:45:47.940 --> 00:45:48.000]  'm
[00:45:48.000 --> 00:45:48.130]   like
[00:45:48.130 --> 00:45:48.190]  ,
[00:45:48.190 --> 00:45:48.220]   "
[00:45:48.220 --> 00:45:48.280]  No
[00:45:48.280 --> 00:45:48.340]  ,
[00:45:48.340 --> 00:45:48.400]   no
[00:45:48.400 --> 00:45:48.460]  ,
[00:45:48.460 --> 00:45:48.590]   that
[00:45:48.590 --> 00:45:48.650]  's
[00:45:48.650 --> 00:45:48.750]   not
[00:45:48.750 --> 00:45:48.930]   gonna
[00:45:48.930 --> 00:45:49.050]   work
[00:45:49.050 --> 00:45:49.150]  .
[00:45:49.150 --> 00:45:49.280]   That
[00:45:49.280 --> 00:45:49.340]   is
[00:45:49.340 --> 00:45:49.440]   not
[00:45:49.440 --> 00:45:49.610]   gonna
[00:45:49.610 --> 00:45:49.740]   work
[00:45:49.740 --> 00:45:49.960]  ,
[00:45:49.960 --> 00:45:50.160]   trust
[00:45:50.160 --> 00:45:50.240]   me
[00:45:50.240 --> 00:45:50.360]  .
[00:45:50.360 --> 00:45:50.920]   Like
[00:45:50.920 --> 00:45:50.920]  ,
[00:45:50.920 --> 00:45:51.110]   here
[00:45:51.110 --> 00:45:51.140]  's
[00:45:51.140 --> 00:45:51.240]   what
[00:45:51.240 --> 00:45:51.340]   you
[00:45:51.340 --> 00:45:51.470]   want
[00:45:51.470 --> 00:45:51.600]  ."
[00:45:51.600 --> 00:45:51.630]   I
[00:45:51.630 --> 00:45:51.690]  'm
[00:45:51.690 --> 00:45:51.820]   like
[00:45:51.820 --> 00:45:51.880]  ,
[00:45:51.880 --> 00:45:51.910]   "
[00:45:51.910 --> 00:45:52.010]  All
[00:45:52.010 --> 00:45:52.170]   right
[00:45:52.170 --> 00:45:52.230]  ,
[00:45:52.230 --> 00:45:52.400]   all
[00:45:52.400 --> 00:45:52.490]   right
[00:45:52.490 --> 00:45:52.550]  ,
[00:45:52.550 --> 00:45:52.580]   I
[00:45:52.580 --> 00:45:52.700]   will
[00:45:52.700 --> 00:45:52.840]   send
[00:45:52.840 --> 00:45:52.940]   you
[00:45:52.940 --> 00:45:53.180]   a
[00:45:53.180 --> 00:45:53.910]   program
[00:45:53.910 --> 00:45:53.960]  ,
[00:45:53.960 --> 00:45:54.130]   and
[00:45:54.130 --> 00:45:54.190]   I
[00:45:54.190 --> 00:45:54.260]  'll
[00:45:54.260 --> 00:45:54.440]   send
[00:45:54.440 --> 00:45:54.570]   you
[00:45:54.570 --> 00:45:54.840]   plenty
[00:45:54.840 --> 00:45:54.930]   of
[00:45:54.930 --> 00:45:55.160]   links
[00:45:55.160 --> 00:45:55.290]  .
[00:45:55.290 --> 00:45:55.330]   I
[00:45:55.330 --> 00:45:55.460]   don
[00:45:55.460 --> 00:45:55.550]  't
[00:45:55.550 --> 00:45:55.730]   want
[00:45:55.730 --> 00:45:55.860]   you
[00:45:55.860 --> 00:45:55.950]   to
[00:45:55.950 --> 00:45:56.080]   get
[00:45:56.080 --> 00:45:56.360]   lost
[00:45:56.360 --> 00:45:56.610]   doing
[00:45:56.610 --> 00:45:56.680]   the
[00:45:56.680 --> 00:45:57.080]   research
[00:45:57.080 --> 00:45:57.080]  ,
[00:45:57.080 --> 00:45:57.110]   '
[00:45:57.110 --> 00:45:57.290]  cause
[00:45:57.290 --> 00:45:57.320]   I
[00:45:57.320 --> 00:45:57.430]  've
[00:45:57.430 --> 00:45:57.690]   already
[00:45:57.690 --> 00:45:57.840]   done
[00:45:57.840 --> 00:45:57.910]   it
[00:45:57.910 --> 00:45:58.030]  .
[00:45:58.030 --> 00:45:58.050]   I
[00:45:58.050 --> 00:45:58.160]  'll
[00:45:58.160 --> 00:45:58.310]   just
[00:45:58.310 --> 00:45:58.620]   simplify
[00:45:58.620 --> 00:45:58.680]   it
[00:45:58.680 --> 00:45:58.790]  .
[00:45:58.790 --> 00:45:58.940]   Just
[00:45:58.940 --> 00:45:59.010]   do
[00:45:59.010 --> 00:45:59.160]   this
[00:45:59.160 --> 00:45:59.330]  ,
[00:45:59.330 --> 00:45:59.600]   and
[00:45:59.600 --> 00:46:00.130]   it
[00:46:00.130 --> 00:46:00.360]   should
[00:46:00.360 --> 00:46:00.600]   probably
[00:46:00.600 --> 00:46:00.720]   work
[00:46:00.720 --> 00:46:00.840]  ."
[00:46:00.840 --> 00:46:00.890]   -
[00:46:00.890 --> 00:46:00.990]   So
[00:46:00.990 --> 00:46:01.190]   this
[00:46:01.190 --> 00:46:01.390]   year
[00:46:01.390 --> 00:46:01.490]   is
[00:46:01.490 --> 00:46:01.680]   the
[00:46:01.680 --> 00:46:01.840]   year
[00:46:01.840 --> 00:46:01.940]   of
[00:46:01.940 --> 00:46:02.190]   dunk
[00:46:02.190 --> 00:46:02.360]  ?
[00:46:02.360 --> 00:46:02.440]   -
