
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.070]   <
[01:04:35.510 --> 01:04:35.630]  US
[01:04:35.630 --> 01:04:35.830]  I
[01:04:35.830 --> 01:04:36.320]   restaurant
[01:04:36.320 --> 01:04:36.570]   that
[01:04:36.570 --> 01:04:36.690]   we
[01:04:36.690 --> 01:04:36.880]   ate
[01:04:36.880 --> 01:04:37.000]   at
[01:04:37.000 --> 01:04:37.190]   and
[01:04:37.190 --> 01:04:37.440]   went
[01:04:37.440 --> 01:04:37.560]   up
[01:04:37.560 --> 01:04:37.680]   by
[01:04:37.680 --> 01:04:37.930]   went
[01:04:37.930 --> 01:04:38.080]   to
[01:04:38.080 --> 01:04:38.240]   the
[01:04:38.240 --> 01:04:38.780]   Tesla
[01:04:38.780 --> 01:04:38.880]   place
[01:04:38.880 --> 01:04:39.070]  .
[01:04:39.070 --> 01:04:39.260]   And
[01:04:39.260 --> 01:04:39.320]   I
[01:04:39.320 --> 01:04:39.570]   told
[01:04:39.570 --> 01:04:39.820]   them
[01:04:39.820 --> 01:04:40.010]   the
[01:04:40.010 --> 01:04:40.330]   Tesla
[01:04:40.330 --> 01:04:40.840]   story
[01:04:40.840 --> 01:04:40.900]   with
[01:04:40.900 --> 01:04:41.150]   with
[01:04:41.150 --> 01:04:41.380]   Ben
[01:04:41.380 --> 01:04:41.660]   Reyes
[01:04:41.660 --> 01:04:41.850]   you
[01:04:41.850 --> 01:04:42.100]   know
[01:04:42.100 --> 01:04:42.280]  ,
[01:04:42.280 --> 01:04:42.410]   and
[01:04:42.410 --> 01:04:42.470]   I
[01:04:42.470 --> 01:04:42.720]   told
[01:04:42.720 --> 01:04:42.910]   the
[01:04:42.910 --> 01:04:43.240]   Tesla
[01:04:43.240 --> 01:04:43.610]   people
[01:04:43.610 --> 01:04:43.930]   there
[01:04:43.930 --> 01:04:44.190]   they
[01:04:44.190 --> 01:04:44.470]   were
[01:04:44.470 --> 01:04:44.870]   thought
[01:04:44.870 --> 01:04:44.990]   it
[01:04:44.990 --> 01:04:45.180]   was
[01:04:45.180 --> 01:04:45.510]   funny
[01:04:45.510 --> 01:04:45.690]  .
[01:04:45.690 --> 01:04:45.990]   And
[01:04:45.990 --> 01:04:46.000]   um
[01:04:46.000 --> 01:04:46.180]   i
[01:04:46.180 --> 01:04:46.230]   we
[01:04:46.230 --> 01:04:46.430]   just
[01:04:46.430 --> 01:04:46.680]   went
[01:04:46.680 --> 01:04:46.800]   on
[01:04:46.800 --> 01:04:47.170]   down
[01:04:47.170 --> 01:04:47.170]   to
[01:04:47.170 --> 01:04:47.510]   the
[01:04:47.510 --> 01:04:47.550]   way
[01:04:47.550 --> 01:04:47.670]   oh
[01:04:47.670 --> 01:04:47.860]   and
[01:04:47.860 --> 01:04:48.110]   then
[01:04:48.110 --> 01:04:48.230]   we
[01:04:48.230 --> 01:04:48.480]   went
[01:04:48.480 --> 01:04:48.670]   and
[01:04:48.670 --> 01:04:48.860]   had
[01:04:48.860 --> 01:04:48.990]   um
[01:04:48.990 --> 01:04:49.170]   and
[01:04:49.170 --> 01:04:49.420]   then
[01:04:49.420 --> 01:04:50.120]   we
[01:04:50.120 --> 01:04:50.120]  
[01:04:50.120 --> 01:04:50.230]   so
[01:04:50.230 --> 01:04:50.340]   we
[01:04:50.340 --> 01:04:50.630]   gotta
[01:04:50.630 --> 01:04:50.800]   sit
[01:04:50.800 --> 01:04:51.030]   down
[01:04:51.030 --> 01:04:51.320]   again
[01:04:51.320 --> 01:04:51.490]   and
[01:04:51.490 --> 01:04:51.600]   so
[01:04:51.600 --> 01:04:51.740]   we
[01:04:51.740 --> 01:04:51.940]   went
[01:04:51.940 --> 01:04:52.170]   and
[01:04:52.170 --> 01:04:52.280]   sat
[01:04:52.280 --> 01:04:52.510]   down
[01:04:52.510 --> 01:04:52.620]   at
[01:04:52.620 --> 01:04:52.730]   uh
[01:04:52.730 --> 01:04:52.890]   P
[01:04:52.890 --> 01:04:52.950]  ank
[01:04:52.950 --> 01:04:53.180]   with
[01:04:53.180 --> 01:04:53.290]   an
[01:04:53.290 --> 01:04:53.490]   uh
[01:04:53.490 --> 01:04:53.650]   your
[01:04:53.650 --> 01:04:54.150]   favourite
[01:04:54.150 --> 01:04:54.670]   little
[01:04:54.670 --> 01:04:54.780]   place
[01:04:54.780 --> 01:04:55.090]  .
[01:04:55.090 --> 01:04:55.720]   Until
[01:04:55.720 --> 01:04:56.350]   they
[01:04:56.350 --> 01:04:57.010]   kicked
[01:04:57.010 --> 01:04:57.270]   us
[01:04:57.270 --> 01:04:57.780]   out
[01:04:57.780 --> 01:04:57.920]   at
[01:04:57.920 --> 01:04:58.310]   six
[01:04:58.310 --> 01:04:58.640]  .
[01:04:58.640 --> 01:04:58.720]   So
[01:04:58.720 --> 01:04:58.880]   then
[01:04:58.880 --> 01:04:59.380]   we
[01:04:59.380 --> 01:04:59.410]   got
[01:04:59.410 --> 01:04:59.740]   kicked
[01:04:59.740 --> 01:05:00.000]   out
[01:05:00.000 --> 01:05:00.040]   of
[01:05:00.040 --> 01:05:00.340]   there
[01:05:00.340 --> 01:05:00.510]  .
[01:05:00.510 --> 01:05:00.690]   And
[01:05:00.690 --> 01:05:01.060]   I
[01:05:01.060 --> 01:05:01.110]   walked
[01:05:01.110 --> 01:05:01.230]   we
[01:05:01.230 --> 01:05:01.470]   were
[01:05:01.470 --> 01:05:01.650]   all
[01:05:01.650 --> 01:05:01.890]   like
[01:05:01.890 --> 01:05:01.950]   a
[01:05:01.950 --> 01:05:02.140]   Kab
[01:05:02.140 --> 01:05:02.310]  uki
[01:05:02.310 --> 01:05:02.480]   and
[01:05:02.480 --> 01:05:02.540]   I
[01:05:02.540 --> 01:05:02.660]   go
[01:05:02.660 --> 01:05:02.840]   Kab
[01:05:02.840 --> 01:05:03.010]  uki
[01:05:03.010 --> 01:05:03.200]   and
[01:05:03.200 --> 01:05:03.250]   I
[01:05:03.250 --> 01:05:03.360]  'm
[01:05:03.360 --> 01:05:03.600]   like
[01:05:03.600 --> 01:05:03.780]   and
[01:05:03.780 --> 01:05:04.130]   that
[01:05:04.130 --> 01:05:04.170]  's
[01:05:04.170 --> 01:05:04.430]   where
[01:05:04.430 --> 01:05:04.500]   I
[01:05:04.500 --> 01:05:04.780]   came
[01:05:04.780 --> 01:05:04.850]   up
[01:05:04.850 --> 01:05:05.090]   with
[01:05:05.090 --> 01:05:05.270]   the
[01:05:05.270 --> 01:05:05.510]   idea
[01:05:05.510 --> 01:05:05.690]   for
[01:05:05.690 --> 01:05:05.880]   DR
[01:05:05.880 --> 01:05:06.180]  IP
[01:05:06.180 --> 01:05:06.630]   for
[01:05:06.630 --> 01:05:07.000]   Rob
[01:05:07.000 --> 01:05:07.280]  's
[01:05:07.280 --> 01:05:08.270]   company
[01:05:08.270 --> 01:05:08.690]   was
[01:05:08.690 --> 01:05:09.680]   sitting
[01:05:09.680 --> 01:05:10.380]   right
[01:05:10.380 --> 01:05:11.080]   there
[01:05:11.080 --> 01:05:11.500]  .
[01:05:11.500 --> 01:05:11.920]   And
[01:05:11.920 --> 01:05:13.400]   um [SPEAKER_TURN]
[01:05:13.400 --> 01:05:18.020]   Yeah
[01:05:18.020 --> 01:05:20.100]  . [SPEAKER_TURN]
[01:05:20.100 --> 01:05:20.100]  
[01:05:20.100 --> 01:05:20.500]   walked
[01:05:20.500 --> 01:05:20.850]   through
[01:05:20.850 --> 01:05:21.140]   every
[01:05:21.140 --> 01:05:21.310]   all
[01:05:21.310 --> 01:05:21.420]   uh
[01:05:21.420 --> 01:05:21.640]   all
[01:05:21.640 --> 01:05:21.760]   the
[01:05:21.760 --> 01:05:22.110]   places
[01:05:22.110 --> 01:05:22.280]   and
[01:05:22.280 --> 01:05:22.450]   all
[01:05:22.450 --> 01:05:22.680]   past
[01:05:22.680 --> 01:05:22.850]   the
[01:05:22.850 --> 01:05:23.180]   all
[01:05:23.180 --> 01:05:23.190]   the
[01:05:23.190 --> 01:05:23.840]   restaurants
[01:05:23.840 --> 01:05:24.000]   and
[01:05:24.000 --> 01:05:24.180]   the
[01:05:24.180 --> 01:05:24.340]   equ
[01:05:24.340 --> 01:05:24.390]  i
[01:05:24.390 --> 01:05:24.560]   equ
[01:05:24.560 --> 01:05:24.950]  ator
[01:05:24.950 --> 01:05:25.010]  .
[01:05:25.010 --> 01:05:25.420]   Remember
[01:05:25.420 --> 01:05:25.530]   we
[01:05:25.530 --> 01:05:25.700]   ate
[01:05:25.700 --> 01:05:25.990]   there
[01:05:25.990 --> 01:05:26.480]   and
[01:05:26.480 --> 01:05:26.800]   um
[01:05:26.800 --> 01:05:26.830]   then
[01:05:26.830 --> 01:05:27.010]   we
[01:05:27.010 --> 01:05:27.190]   uh
[01:05:27.190 --> 01:05:27.750]   went
[01:05:27.750 --> 01:05:27.800]   and
[01:05:27.800 --> 01:05:27.980]   we
[01:05:27.980 --> 01:05:28.330]   just
[01:05:28.330 --> 01:05:28.940]   went
[01:05:28.940 --> 01:05:29.050]   and
[01:05:29.050 --> 01:05:29.200]   had
[01:05:29.200 --> 01:05:29.730]   dinner
[01:05:29.730 --> 01:05:29.990]   for
[01:05:29.990 --> 01:05:30.320]   like
[01:05:30.320 --> 01:05:30.340]   for
[01:05:30.340 --> 01:05:30.870]   I
[01:05:30.870 --> 01:05:31.290]   dunno
[01:05:31.290 --> 01:05:31.480]   like
[01:05:31.480 --> 01:05:31.570]   a
[01:05:31.570 --> 01:05:32.110]   three
[01:05:32.110 --> 01:05:32.360]   hour
[01:05:32.360 --> 01:05:33.050]   dinner
[01:05:33.050 --> 01:05:33.090]   at
[01:05:33.090 --> 01:05:33.550]   Tokyo
[01:05:33.550 --> 01:05:33.600]   W
[01:05:33.600 --> 01:05:33.860]  aku
[01:05:33.860 --> 01:05:34.300]   and
[01:05:34.300 --> 01:05:35.200]   uh [SPEAKER_TURN]
[01:05:35.200 --> 01:05:35.630]   Bloody
[01:05:35.630 --> 01:05:35.790]   hell
[01:05:35.790 --> 01:05:36.380]  . [SPEAKER_TURN]
[01:05:36.380 --> 01:05:36.770]   And
[01:05:36.770 --> 01:05:36.830]   then
[01:05:36.830 --> 01:05:36.890]   I
[01:05:36.890 --> 01:05:37.210]   think
[01:05:37.210 --> 01:05:37.360]   I
[01:05:37.360 --> 01:05:37.850]   dropped
[01:05:37.850 --> 01:05:37.910]   him
[01:05:37.910 --> 01:05:38.230]   off
[01:05:38.230 --> 01:05:38.260]   at
[01:05:38.260 --> 01:05:38.450]   the
[01:05:38.450 --> 01:05:38.740]   train
[01:05:38.740 --> 01:05:39.190]   station
[01:05:39.190 --> 01:05:39.320]   at
[01:05:39.320 --> 01:05:39.640]   like
[01:05:39.640 --> 01:05:39.970]   eleven
[01:05:39.970 --> 01:05:40.030]   P
[01:05:40.030 --> 01:05:40.090]  _
[01:05:40.090 --> 01:05:40.150]  M
[01:05:40.150 --> 01:05:41.000]  _. [SPEAKER_TURN]
[01:05:41.000 --> 01:05:41.100]   So
[01:05:41.100 --> 01:05:41.350]   so
[01:05:41.350 --> 01:05:41.380]   whe
[01:05:41.380 --> 01:05:41.640]   where
[01:05:41.640 --> 01:05:41.650]   w
[01:05:41.650 --> 01:05:41.900]   where
[01:05:41.900 --> 01:05:42.050]   did
[01:05:42.050 --> 01:05:42.150]   he
[01:05:42.150 --> 01:05:42.350]   come
[01:05:42.350 --> 01:05:42.550]   from
[01:05:42.550 --> 01:05:43.160]  ? [SPEAKER_TURN]
[01:05:43.160 --> 01:05:43.730]   Chicago
[01:05:43.730 --> 01:05:44.200]  . [SPEAKER_TURN]
[01:05:44.200 --> 01:05:44.320]   Oh
[01:05:44.320 --> 01:05:44.870]   okay
[01:05:44.870 --> 01:05:44.960]   great
[01:05:44.960 --> 01:05:45.050]  .
[01:05:45.050 --> 01:05:45.170]   So
[01:05:45.170 --> 01:05:45.290]   he
[01:05:45.290 --> 01:05:45.520]   but
[01:05:45.520 --> 01:05:45.670]   did
[01:05:45.670 --> 01:05:45.770]   he
[01:05:45.770 --> 01:05:46.090]   come
[01:05:46.090 --> 01:05:46.750]   specifically
[01:05:46.750 --> 01:05:46.900]   to
[01:05:46.900 --> 01:05:47.120]   see
[01:05:47.120 --> 01:05:47.240]   you
[01:05:47.240 --> 01:05:48.000]  ? [SPEAKER_TURN]
[01:05:48.780 --> 01:05:48.840]  
[01:05:48.840 --> 01:05:48.880]   Uh
[01:05:48.880 --> 01:05:48.980]   no
[01:05:48.980 --> 01:05:49.080]   no
[01:05:49.080 --> 01:05:49.180]   no
[01:05:49.180 --> 01:05:49.280]   no
[01:05:49.280 --> 01:05:49.430]  .
[01:05:49.430 --> 01:05:49.530]   He
[01:05:49.530 --> 01:05:49.630]  'd
[01:05:49.630 --> 01:05:49.850]   been
[01:05:49.850 --> 01:05:50.040]   here
[01:05:50.040 --> 01:05:50.190]   for
[01:05:50.190 --> 01:05:50.220]   a
[01:05:50.220 --> 01:05:50.730]   conference
[01:05:50.730 --> 01:05:50.880]   all
[01:05:50.880 --> 01:05:51.120]   week
[01:05:51.120 --> 01:05:51.380]  .
[01:05:51.380 --> 01:05:51.440]   And
[01:05:51.440 --> 01:05:51.480]   it
[01:05:51.480 --> 01:05:51.660]   was
[01:05:51.660 --> 01:05:51.750]   an
[01:05:51.750 --> 01:05:51.930]   open
[01:05:51.930 --> 01:05:52.230]   source
[01:05:52.230 --> 01:05:52.720]   conference
[01:05:52.720 --> 01:05:52.880]  .
[01:05:52.880 --> 01:05:53.020]   So
[01:05:53.020 --> 01:05:53.080]   he
[01:05:53.080 --> 01:05:53.180]   he
[01:05:53.180 --> 01:05:53.380]   does
[01:05:53.380 --> 01:05:53.580]   like
[01:05:53.580 --> 01:05:53.660]   a
[01:05:53.660 --> 01:05:53.780]   uh
[01:05:53.780 --> 01:05:53.790]   a
[01:05:53.790 --> 01:05:53.830]   a
[01:05:53.830 --> 01:05:54.330]   consulting
[01:05:54.330 --> 01:05:54.530]   firm
[01:05:54.530 --> 01:05:54.730]   that
[01:05:54.730 --> 01:05:55.080]   special
[01:05:55.080 --> 01:05:55.280]  ises
[01:05:55.280 --> 01:05:55.380]   in
[01:05:55.380 --> 01:05:55.630]   open
[01:05:55.630 --> 01:05:55.880]   source
[01:05:55.880 --> 01:05:56.280]   software
[01:05:56.280 --> 01:05:56.430]   and
[01:05:56.430 --> 01:05:56.730]   Drupal
[01:05:56.730 --> 01:05:56.780]   I
[01:05:56.780 --> 01:05:57.030]   think
[01:05:57.030 --> 01:05:57.140]   is
[01:05:57.140 --> 01:05:57.280]   one
[01:05:57.280 --> 01:05:57.380]   of
[01:05:57.380 --> 01:05:57.530]   his
[01:05:57.530 --> 01:05:58.320]   main [SPEAKER_TURN]
[01:05:58.320 --> 01:05:58.430]   Nice
[01:05:58.430 --> 01:05:58.760]  . [SPEAKER_TURN]
[01:05:59.700 --> 01:05:59.770]  
[01:05:59.770 --> 01:06:00.430]   focuses
[01:06:00.430 --> 01:06:00.730]   and
[01:06:00.730 --> 01:06:00.960]   um
[01:06:02.180 --> 01:06:02.330]  
[01:06:02.330 --> 01:06:02.670]   And
[01:06:02.670 --> 01:06:02.960]   so
[01:06:02.960 --> 01:06:03.370]   uh
[01:06:03.370 --> 01:06:03.370]   so
[01:06:03.370 --> 01:06:03.540]   yeah
[01:06:03.540 --> 01:06:03.820]   I
[01:06:03.820 --> 01:06:03.860]   think
[01:06:03.860 --> 01:06:03.910]   he
[01:06:03.910 --> 01:06:04.050]   had
[01:06:04.050 --> 01:06:04.230]   some
[01:06:04.230 --> 01:06:04.410]   time
[01:06:04.410 --> 01:06:04.500]   at
[01:06:04.500 --> 01:06:04.640]   the
[01:06:04.640 --> 01:06:05.060]   beginning
[01:06:05.060 --> 01:06:05.150]   of
[01:06:05.150 --> 01:06:05.290]   the
[01:06:05.290 --> 01:06:05.470]   week
[01:06:05.470 --> 01:06:05.560]   or
[01:06:05.560 --> 01:06:05.690]   end
[01:06:05.690 --> 01:06:05.800]   of
[01:06:05.800 --> 01:06:05.930]   the
[01:06:05.930 --> 01:06:06.110]   week
[01:06:06.110 --> 01:06:06.250]   and
[01:06:06.250 --> 01:06:06.340]   he
[01:06:06.340 --> 01:06:06.520]   said
[01:06:06.520 --> 01:06:06.740]   and
[01:06:06.740 --> 01:06:06.750]   so
[01:06:06.750 --> 01:06:06.790]   I
[01:06:06.790 --> 01:06:06.970]   said
[01:06:06.970 --> 01:06:07.210]   come
[01:06:07.210 --> 01:06:07.240]   on
[01:06:07.240 --> 01:06:07.520]   Friday
[01:06:07.520 --> 01:06:07.610]  ,
[01:06:07.610 --> 01:06:07.790]   that
[01:06:07.790 --> 01:06:07.880]  's
[01:06:07.880 --> 01:06:08.110]   great
[01:06:08.110 --> 01:06:08.250]  .
[01:06:08.250 --> 01:06:08.390]   And
[01:06:08.390 --> 01:06:08.480]   so
[01:06:08.480 --> 01:06:08.620]   we
[01:06:08.620 --> 01:06:08.750]   just
[01:06:08.750 --> 01:06:09.040]   um
[01:06:09.040 --> 01:06:09.530]   basically
[01:06:09.530 --> 01:06:09.610]   I
[01:06:09.610 --> 01:06:10.010]   blew
[01:06:10.010 --> 01:06:10.080]   off
[01:06:10.080 --> 01:06:10.180]   the
[01:06:10.180 --> 01:06:10.470]   whole
[01:06:10.470 --> 01:06:10.700]   rest
[01:06:10.700 --> 01:06:10.860]   of
[01:06:10.860 --> 01:06:10.980]   the
[01:06:10.980 --> 01:06:11.150]   day
[01:06:11.150 --> 01:06:11.340]  .
[01:06:11.340 --> 01:06:11.370]   I
[01:06:11.370 --> 01:06:11.540]   was
[01:06:11.540 --> 01:06:11.590]   I
[01:06:11.590 --> 01:06:11.760]   was
[01:06:11.760 --> 01:06:11.990]   like
[01:06:11.990 --> 01:06:12.220]   well
[01:06:12.220 --> 01:06:12.390]   you
[01:06:12.390 --> 01:06:12.620]   know
[01:06:12.620 --> 01:06:12.670]   I
[01:06:12.670 --> 01:06:13.170]   told
[01:06:13.170 --> 01:06:13.190]   Sandy
[01:06:13.190 --> 01:06:13.420]   when
[01:06:13.420 --> 01:06:13.530]   we
[01:06:13.530 --> 01:06:13.930]   stopped
[01:06:13.930 --> 01:06:14.040]   at
[01:06:14.040 --> 01:06:14.270]   home
[01:06:14.270 --> 01:06:14.390]   oh
[01:06:14.390 --> 01:06:14.430]   I
[01:06:14.430 --> 01:06:14.530]   t
[01:06:14.530 --> 01:06:14.530]   I
[01:06:14.530 --> 01:06:14.640]   at
[01:06:14.640 --> 01:06:14.930]   least
[01:06:14.930 --> 01:06:15.330]   stopped
[01:06:15.330 --> 01:06:15.480]   at
[01:06:15.480 --> 01:06:15.670]   home
[01:06:15.670 --> 01:06:15.840]   you
[01:06:15.840 --> 01:06:16.070]   know
[01:06:16.070 --> 01:06:16.180]   my
[01:06:16.180 --> 01:06:16.470]   house
[01:06:16.470 --> 01:06:16.640]   and
[01:06:16.640 --> 01:06:16.690]   I
[01:06:16.690 --> 01:06:16.800]  'm
[01:06:16.800 --> 01:06:17.380]   introduced
[01:06:17.380 --> 01:06:17.490]   to
[01:06:17.490 --> 01:06:17.840]   Sandy
[01:06:17.840 --> 01:06:17.950]   and
[01:06:17.950 --> 01:06:18.120]   the
[01:06:18.120 --> 01:06:18.350]   kids
[01:06:18.350 --> 01:06:18.520]   and
[01:06:18.520 --> 01:06:18.670]   then
[01:06:18.670 --> 01:06:19.030]   uh
[01:06:19.030 --> 01:06:19.130]   and
[01:06:19.130 --> 01:06:19.320]   Sandy
[01:06:19.320 --> 01:06:19.430]  's
[01:06:19.430 --> 01:06:19.660]   like
[01:06:19.660 --> 01:06:19.770]   so
[01:06:19.770 --> 01:06:20.440]   what
[01:06:20.440 --> 01:06:20.440]   are
[01:06:20.440 --> 01:06:20.560]   you
[01:06:20.560 --> 01:06:20.720]   going
[01:06:20.720 --> 01:06:20.850]   to
[01:06:20.850 --> 01:06:21.090]   the
[01:06:21.090 --> 01:06:21.130]   gym
[01:06:21.130 --> 01:06:21.160]   I
[01:06:21.160 --> 01:06:21.250]   was
[01:06:21.250 --> 01:06:21.420]   yeah
[01:06:21.420 --> 01:06:21.600]   yeah
[01:06:21.600 --> 01:06:21.670]   we
[01:06:21.670 --> 01:06:21.790]  're
[01:06:21.790 --> 01:06:22.000]   gonna
[01:06:22.000 --> 01:06:22.170]   walk
[01:06:22.170 --> 01:06:22.420]   around
[01:06:22.420 --> 01:06:22.580]   Old
[01:06:22.580 --> 01:06:22.710]   Town
[01:06:22.710 --> 01:06:22.750]   I
[01:06:22.750 --> 01:06:22.890]  'm
[01:06:22.890 --> 01:06:22.950]  .
[01:06:22.950 --> 01:06:23.180]   gonna
[01:06:23.180 --> 01:06:23.240]   go
[01:06:23.240 --> 01:06:23.320]   to
[01:06:23.320 --> 01:06:23.440]   the
[01:06:23.440 --> 01:06:23.560]   gym
[01:06:23.560 --> 01:06:23.680]   but
[01:06:23.680 --> 01:06:23.850]   then
[01:06:23.850 --> 01:06:23.980]   of
[01:06:23.980 --> 01:06:24.180]   course
[01:06:24.180 --> 01:06:24.380]   that
[01:06:24.380 --> 01:06:24.520]   didn
[01:06:24.520 --> 01:06:24.600]  't
[01:06:24.600 --> 01:06:24.850]   happen
[01:06:24.850 --> 01:06:24.890]   I
[01:06:24.890 --> 01:06:25.090]   just
[01:06:25.090 --> 01:06:25.230]   blew
[01:06:25.230 --> 01:06:25.350]   off
[01:06:25.350 --> 01:06:25.580]   the
[01:06:25.580 --> 01:06:25.680]   whole
[01:06:25.680 --> 01:06:25.860]   day
[01:06:25.860 --> 01:06:25.920]   and
[01:06:25.920 --> 01:06:25.960]   I
[01:06:25.960 --> 01:06:26.040]  'm
[01:06:26.040 --> 01:06:26.450]   like
[01:06:26.450 --> 01:06:26.890]   alright
[01:06:26.890 --> 01:06:27.050]   sweet
[01:06:27.050 --> 01:06:27.290]  heart
[01:06:27.290 --> 01:06:27.440]   you
[01:06:27.440 --> 01:06:27.640]   guys
[01:06:27.640 --> 01:06:27.790]   are
[01:06:27.790 --> 01:06:27.890]   on
[01:06:27.890 --> 01:06:28.140]   their
[01:06:28.140 --> 01:06:28.290]   own
[01:06:28.290 --> 01:06:28.450]   for
[01:06:28.450 --> 01:06:28.690]   pizza
[01:06:28.690 --> 01:06:28.790]   we
[01:06:28.790 --> 01:06:28.970]  're
[01:06:28.970 --> 01:06:29.220]   gonna
[01:06:29.220 --> 01:06:29.290]   go
[01:06:29.290 --> 01:06:29.440]   get
[01:06:29.440 --> 01:06:29.690]   sushi
[01:06:29.690 --> 01:06:29.840]   and
[01:06:29.840 --> 01:06:30.040]   they
[01:06:30.040 --> 01:06:30.320]  're
[01:06:30.320 --> 01:06:30.570]   like
[01:06:30.570 --> 01:06:31.050]   alright
[01:06:31.050 --> 01:06:31.320]   well
[01:06:31.320 --> 01:06:31.620]   then
[01:06:31.620 --> 01:06:31.710]   she
[01:06:31.710 --> 01:06:31.750]  's
[01:06:31.750 --> 01:06:32.160]   like
[01:06:32.240 --> 01:06:32.350]   you
[01:06:32.350 --> 01:06:32.490]   have
[01:06:32.490 --> 01:06:32.690]   the
[01:06:32.690 --> 01:06:32.820]   math
[01:06:32.820 --> 01:06:32.910]   uh
[01:06:32.910 --> 01:06:33.080]   the
[01:06:33.080 --> 01:06:33.090]   L
[01:06:33.090 --> 01:06:33.130]  _
[01:06:33.130 --> 01:06:33.170]  A
[01:06:33.170 --> 01:06:33.260]  _
[01:06:33.260 --> 01:06:33.400]   math
[01:06:33.400 --> 01:06:33.540]   com
[01:06:33.540 --> 01:06:33.680]   for
[01:06:33.680 --> 01:06:33.820]   the
[01:06:33.820 --> 01:06:34.020]   kids
[01:06:34.020 --> 01:06:34.450]   tomorrow
[01:06:34.450 --> 01:06:34.730]   morning
[01:06:34.730 --> 01:06:34.870]   don
[01:06:34.870 --> 01:06:34.960]  't
[01:06:34.960 --> 01:06:35.150]   stay
[01:06:35.150 --> 01:06:35.290]   out
[01:06:35.290 --> 01:06:35.430]   too
[01:06:35.430 --> 01:06:35.660]   late
[01:06:35.660 --> 01:06:35.850]   '
[01:06:35.850 --> 01:06:35.960]  cause
[01:06:35.960 --> 01:06:36.040]   you
[01:06:36.040 --> 01:06:36.350]   gotta
[01:06:36.350 --> 01:06:36.370]   be
[01:06:36.370 --> 01:06:36.610]   there
[01:06:36.610 --> 01:06:37.260]   registration
[01:06:37.260 --> 01:06:37.430]   eight
[01:06:37.430 --> 01:06:37.720]   thirty
[01:06:37.720 --> 01:06:38.070]   morning
[01:06:38.070 --> 01:06:38.110]   I
[01:06:38.110 --> 01:06:38.190]  'm
[01:06:38.190 --> 01:06:38.380]   like
[01:06:38.380 --> 01:06:38.470]   oh
[01:06:38.470 --> 01:06:38.660]   good
[01:06:38.660 --> 01:06:38.950]   points
[01:06:38.950 --> 01:06:39.700]  . [SPEAKER_TURN]
[01:06:39.700 --> 01:06:39.870]   Well
[01:06:39.870 --> 01:06:39.950]   it
[01:06:39.950 --> 01:06:40.110]  's
[01:06:40.110 --> 01:06:40.200]   safe
[01:06:40.200 --> 01:06:40.330]   wh
[01:06:40.330 --> 01:06:40.400]   she
[01:06:40.400 --> 01:06:40.480]  's
[01:06:40.480 --> 01:06:40.650]   safe
[01:06:40.650 --> 01:06:40.870]   with
[01:06:40.870 --> 01:06:40.960]   you
[01:06:40.960 --> 01:06:40.980]   '
[01:06:40.980 --> 01:06:41.190]  cause
[01:06:41.190 --> 01:06:41.310]   you
[01:06:41.310 --> 01:06:41.430]   don
[01:06:41.430 --> 01:06:41.510]  't
[01:06:41.510 --> 01:06:41.720]   drink
[01:06:41.720 --> 01:06:41.930]   right
[01:06:41.930 --> 01:06:42.010]  ,
[01:06:42.010 --> 01:06:42.090]   so
[01:06:42.090 --> 01:06:42.330]   that
[01:06:42.330 --> 01:06:42.340]  's
[01:06:42.340 --> 01:06:42.460]   all
[01:06:42.460 --> 01:06:42.630]   fine
[01:06:42.630 --> 01:06:42.750]   you
[01:06:42.750 --> 01:06:42.890]  'll
[01:06:42.890 --> 01:06:43.040]   just
[01:06:43.040 --> 01:06:43.120]   be
[01:06:43.120 --> 01:06:43.330]   tired
[01:06:43.330 --> 01:06:43.540]   worst
[01:06:43.540 --> 01:06:43.710]   case
[01:06:43.710 --> 01:06:44.050]   scenario
[01:06:44.050 --> 01:06:44.700]  . [SPEAKER_TURN]
[01:06:46.000 --> 01:06:46.000]  
[01:06:46.000 --> 01:06:46.130]   So
[01:06:46.130 --> 01:06:46.400]   that
[01:06:46.400 --> 01:06:46.530]  's
[01:06:46.530 --> 01:06:46.790]   not
[01:06:46.790 --> 01:06:46.890]   a
[01:06:46.890 --> 01:06:46.990]   big
[01:06:46.990 --> 01:06:47.260]   deal
[01:06:47.260 --> 01:06:47.460]  .
[01:06:47.460 --> 01:06:47.660]   But
[01:06:47.660 --> 01:06:47.930]   that
[01:06:47.930 --> 01:06:48.130]   was
[01:06:48.130 --> 01:06:48.670]   funny
[01:06:48.670 --> 01:06:48.700]  .
[01:06:48.700 --> 01:06:48.930]   So
[01:06:48.930 --> 01:06:48.960]   Uh
[01:06:48.960 --> 01:06:49.060]   we
[01:06:49.060 --> 01:06:49.260]   had
[01:06:49.260 --> 01:06:49.390]   it
[01:06:49.390 --> 01:06:49.590]   was
[01:06:49.590 --> 01:06:49.860]   like
[01:06:49.860 --> 01:06:49.920]   a
[01:06:49.920 --> 01:06:50.120]   one
[01:06:50.120 --> 01:06:50.300]  ,
[01:06:50.300 --> 01:06:50.380]   it
[01:06:50.380 --> 01:06:50.580]   was
[01:06:50.580 --> 01:06:50.710]   uh
[01:06:50.710 --> 01:06:50.840]   it
