
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:01.440]   All
[00:44:41.190 --> 00:44:41.240]   it
[00:44:41.240 --> 00:44:41.300]   is
[00:44:41.300 --> 00:44:41.480]  .
[00:44:41.480 --> 00:44:41.510]   That
[00:44:41.510 --> 00:44:42.240]   takes
[00:44:42.240 --> 00:44:42.310]   a
[00:44:42.310 --> 00:44:43.290]   continually
[00:44:43.290 --> 00:44:43.380]   ref
[00:44:43.380 --> 00:44:43.570]  act
[00:44:43.570 --> 00:44:43.880]  oring
[00:44:43.880 --> 00:44:44.030]  ,
[00:44:44.030 --> 00:44:44.630]   redesign
[00:44:44.630 --> 00:44:44.850]  ing
[00:44:44.850 --> 00:44:45.040]  ,
[00:44:45.040 --> 00:44:45.600]   cleaning
[00:44:45.600 --> 00:44:45.970]   thing
[00:44:45.970 --> 00:44:46.120]   up
[00:44:46.120 --> 00:44:46.270]  ,
[00:44:46.270 --> 00:44:46.480]   re
[00:44:46.480 --> 00:44:46.730]  eval
[00:44:46.730 --> 00:44:47.170]  uating
[00:44:47.170 --> 00:44:47.560]  .
[00:44:47.560 --> 00:44:47.600]   Okay
[00:44:47.600 --> 00:44:47.790]  ,
[00:44:47.790 --> 00:44:48.190]   now
[00:44:48.190 --> 00:44:48.260]   that
[00:44:48.260 --> 00:44:48.300]  's
[00:44:48.300 --> 00:44:48.520]   also
[00:44:48.520 --> 00:44:48.850]   sort
[00:44:48.850 --> 00:44:48.920]   of
[00:44:48.920 --> 00:44:49.010]   the
[00:44:49.010 --> 00:44:49.440]   opposite
[00:44:49.440 --> 00:44:49.750]   of
[00:44:49.750 --> 00:44:49.780]   this
[00:44:49.780 --> 00:44:50.000]   idea
[00:44:50.000 --> 00:44:50.110]   of
[00:44:50.110 --> 00:44:50.330]   just
[00:44:50.330 --> 00:44:50.490]   get
[00:44:50.490 --> 00:44:51.050]   something
[00:44:51.050 --> 00:44:51.100]   up
[00:44:51.100 --> 00:44:51.260]   and
[00:44:51.260 --> 00:44:51.420]   out
[00:44:51.420 --> 00:44:51.690]   there
[00:44:51.690 --> 00:44:51.910]   with
[00:44:51.910 --> 00:44:52.160]   this
[00:44:52.160 --> 00:44:52.390]   whole
[00:44:52.390 --> 00:44:52.780]   minimal
[00:44:52.780 --> 00:44:53.140]   viable
[00:44:53.140 --> 00:44:53.510]   product
[00:44:53.510 --> 00:44:53.760]   thing
[00:44:53.760 --> 00:44:53.940]  ,
[00:44:53.940 --> 00:44:54.140]   right
[00:44:54.140 --> 00:44:54.510]  ?
[00:44:54.510 --> 00:44:54.520]   Good
[00:44:54.520 --> 00:44:54.890]   enough
[00:44:54.890 --> 00:44:54.960]  ,
[00:44:54.960 --> 00:44:55.240]   good
[00:44:55.240 --> 00:44:55.510]   enough
[00:44:55.510 --> 00:44:55.670]  .
[00:44:55.670 --> 00:44:55.890]   Just
[00:44:55.890 --> 00:44:56.090]   get
[00:44:56.090 --> 00:44:56.250]   out
[00:44:56.250 --> 00:44:56.550]   there
[00:44:56.550 --> 00:44:56.700]   good
[00:44:56.700 --> 00:44:57.080]   enough
[00:44:57.080 --> 00:44:57.210]  ,
[00:44:57.210 --> 00:44:57.440]   kinda
[00:44:57.440 --> 00:44:57.680]   thing
[00:44:57.680 --> 00:44:58.500]  . [SPEAKER_TURN]
[00:44:58.580 --> 00:44:58.580]  
[00:44:58.580 --> 00:44:59.170]   Microsoft
[00:44:59.170 --> 00:44:59.230]   I
[00:44:59.230 --> 00:44:59.500]   mean
[00:44:59.500 --> 00:45:00.210]   Microsoft
[00:45:00.210 --> 00:45:00.320]   it
[00:45:00.320 --> 00:45:00.340]  's
[00:45:00.340 --> 00:45:00.670]   funny
[00:45:00.670 --> 00:45:01.130]   because
[00:45:01.130 --> 00:45:01.720]   Microsoft
[00:45:01.720 --> 00:45:01.910]   and
[00:45:01.910 --> 00:45:02.240]   Apple
[00:45:02.240 --> 00:45:02.430]   are
[00:45:02.430 --> 00:45:02.620]   the
[00:45:02.620 --> 00:45:02.950]   exact
[00:45:02.950 --> 00:45:03.480]   opposite
[00:45:03.480 --> 00:45:03.610]   in
[00:45:03.610 --> 00:45:03.930]   that
[00:45:03.930 --> 00:45:04.060]   way
[00:45:04.060 --> 00:45:04.120]   Like
[00:45:04.120 --> 00:45:04.720]  .
[00:45:04.720 --> 00:45:04.770]   they
[00:45:04.770 --> 00:45:04.900]   it
[00:45:04.900 --> 00:45:05.030]  's
[00:45:05.030 --> 00:45:05.290]   like
[00:45:05.290 --> 00:45:05.550]   they
[00:45:05.550 --> 00:45:05.800]   they
[00:45:05.800 --> 00:45:06.080]   they
[00:45:06.080 --> 00:45:06.330]   they
[00:45:06.330 --> 00:45:06.770]   they
[00:45:06.770 --> 00:45:06.850]   they
[00:45:06.850 --> 00:45:07.060]  're
[00:45:07.060 --> 00:45:07.230]   the
[00:45:07.230 --> 00:45:07.560]   devil
[00:45:07.560 --> 00:45:07.750]   and
[00:45:07.750 --> 00:45:07.930]   God
[00:45:07.930 --> 00:45:08.200]  .
[00:45:08.200 --> 00:45:08.450]   But
[00:45:08.450 --> 00:45:08.510]   who
[00:45:08.510 --> 00:45:08.640]  's
[00:45:08.640 --> 00:45:08.960]   who
[00:45:08.960 --> 00:45:09.820]  . [SPEAKER_TURN]
[00:45:09.820 --> 00:45:10.930]   M
[00:45:10.930 --> 00:45:11.970]  m
[00:45:11.970 --> 00:45:13.040]  -
[00:45:13.040 --> 00:45:14.110]  h
[00:45:14.110 --> 00:45:16.390]  mm
[00:45:16.390 --> 00:45:19.500]  . [SPEAKER_TURN]
[00:45:19.500 --> 00:45:19.990]   M
[00:45:19.990 --> 00:45:20.410]  m
[00:45:20.410 --> 00:45:20.850]  -
[00:45:20.850 --> 00:45:21.370]  h
[00:45:21.370 --> 00:45:22.300]  mm
[00:45:22.300 --> 00:45:23.640]  .
[00:45:23.640 --> 00:45:23.690]  
[00:45:23.690 --> 00:45:23.910]   said
[00:45:23.910 --> 00:45:24.110]   you
[00:45:24.110 --> 00:45:24.310]  're
[00:45:24.310 --> 00:45:24.690]   never
[00:45:24.690 --> 00:45:24.990]   gonna
[00:45:24.990 --> 00:45:25.190]   get
[00:45:25.190 --> 00:45:25.530]   users
[00:45:25.530 --> 00:45:25.750]  ,
[00:45:25.750 --> 00:45:25.860]   you
[00:45:25.860 --> 00:45:26.060]  're
[00:45:26.060 --> 00:45:26.400]   never
[00:45:26.400 --> 00:45:26.560]   gonna
[00:45:26.560 --> 00:45:27.100]   find
[00:45:27.100 --> 00:45:27.210]   out
[00:45:27.210 --> 00:45:27.480]   what
[00:45:27.480 --> 00:45:27.610]  's
[00:45:27.610 --> 00:45:28.030]   real
[00:45:28.030 --> 00:45:28.080]   and
[00:45:28.080 --> 00:45:28.340]   but
[00:45:28.340 --> 00:45:28.480]   but
[00:45:28.480 --> 00:45:28.680]   uh
[00:45:28.680 --> 00:45:29.390]   Apple
[00:45:29.390 --> 00:45:29.890]   to
[00:45:29.890 --> 00:45:30.230]   some
[00:45:30.230 --> 00:45:31.170]   degree
[00:45:31.170 --> 00:45:31.290]   doesn
[00:45:31.290 --> 00:45:31.900]  't
[00:45:31.900 --> 00:45:31.920]   release
[00:45:31.920 --> 00:45:32.190]   stuff
[00:45:32.190 --> 00:45:32.480]   until
[00:45:32.480 --> 00:45:32.640]   uh
[00:45:32.640 --> 00:45:32.700]   it
[00:45:32.700 --> 00:45:32.840]  's
[00:45:32.840 --> 00:45:33.150]   pretty
[00:45:33.150 --> 00:45:33.440]   damn
[00:45:33.440 --> 00:45:33.610]   good
[00:45:33.610 --> 00:45:33.720]  ,
[00:45:33.720 --> 00:45:33.840]   right
[00:45:33.840 --> 00:45:34.390]   They
[00:45:34.390 --> 00:45:34.410]  .
[00:45:34.410 --> 00:45:34.580]   don
[00:45:34.580 --> 00:45:34.690]  't
[00:45:34.690 --> 00:45:34.850]   le
[00:45:34.850 --> 00:45:35.150]  a
[00:45:35.150 --> 00:45:35.250]   release
[00:45:35.250 --> 00:45:35.300]   a
[00:45:35.300 --> 00:45:35.590]   piece
[00:45:35.590 --> 00:45:35.770]   of
[00:45:35.770 --> 00:45:35.970]   crap
[00:45:35.970 --> 00:45:36.100]  .
[00:45:36.100 --> 00:45:36.330]   They
[00:45:36.330 --> 00:45:36.500]   don
[00:45:36.500 --> 00:45:36.620]  't
[00:45:36.620 --> 00:45:36.710]   do
[00:45:36.710 --> 00:45:36.920]   the
[00:45:36.920 --> 00:45:37.290]   minimal
[00:45:37.290 --> 00:45:37.620]   viable
[00:45:37.620 --> 00:45:38.030]   product
[00:45:38.030 --> 00:45:38.200]  .
[00:45:38.200 --> 00:45:38.250]   I
[00:45:38.250 --> 00:45:38.480]   mean
[00:45:38.480 --> 00:45:38.770]   they
[00:45:38.770 --> 00:45:39.000]   might
[00:45:39.000 --> 00:45:39.110]   be
[00:45:39.110 --> 00:45:39.160]   m
[00:45:39.160 --> 00:45:39.270]   it
[00:45:39.270 --> 00:45:39.350]   might
[00:45:39.350 --> 00:45:39.790]   be
[00:45:39.790 --> 00:45:40.070]   missing
[00:45:40.070 --> 00:45:40.530]   features
[00:45:40.530 --> 00:45:40.720]  ,
[00:45:40.720 --> 00:45:40.810]   but
[00:45:40.810 --> 00:45:41.040]   they
[00:45:41.040 --> 00:45:41.210]  've
[00:45:41.210 --> 00:45:41.550]   spent
[00:45:41.550 --> 00:45:41.550]   a
[00:45:41.550 --> 00:45:41.720]   lot
[00:45:41.720 --> 00:45:41.830]   of
[00:45:41.830 --> 00:45:42.060]   time
[00:45:42.060 --> 00:45:42.170]   re
[00:45:42.170 --> 00:45:42.460]  using
[00:45:42.460 --> 00:45:43.340]  . [SPEAKER_TURN]
[00:45:43.340 --> 00:45:43.520]   But
[00:45:43.520 --> 00:45:43.770]   that
[00:45:43.770 --> 00:45:44.080]   doesn
[00:45:44.080 --> 00:45:44.200]  't
[00:45:44.200 --> 00:45:44.450]   make
[00:45:44.450 --> 00:45:44.770]   sense
[00:45:44.770 --> 00:45:45.350]   because
[00:45:45.350 --> 00:45:45.380]   the
[00:45:45.380 --> 00:45:45.570]   guy
[00:45:45.570 --> 00:45:46.000]   because
[00:45:46.000 --> 00:45:46.180]   Guy
[00:45:46.180 --> 00:45:46.610]   Kaw
[00:45:46.610 --> 00:45:46.670]  asaki
[00:45:46.670 --> 00:45:46.790]   uh
[00:45:46.790 --> 00:45:46.910]   is
[00:45:46.910 --> 00:45:47.030]   if
[00:45:47.030 --> 00:45:47.090]   I
[00:45:47.090 --> 00:45:47.340]   said
[00:45:47.340 --> 00:45:47.590]   that
[00:45:47.590 --> 00:45:47.890]   right
[00:45:47.890 --> 00:45:48.330]  ?
[00:45:48.330 --> 00:45:48.350]   Yeah
[00:45:48.350 --> 00:45:48.610]   Yeah
[00:45:48.610 --> 00:45:48.760]  .
[00:45:48.760 --> 00:45:48.870]   he
[00:45:48.870 --> 00:45:49.250]  's
[00:45:49.250 --> 00:45:49.260]   used
[00:45:49.260 --> 00:45:49.370]   to
[00:45:49.370 --> 00:45:49.490]   be
[00:45:49.490 --> 00:45:50.050]   Marketing
[00:45:50.050 --> 00:45:50.550]   Director
[00:45:50.550 --> 00:45:50.670]   of
[00:45:50.670 --> 00:45:50.980]   Apple
[00:45:50.980 --> 00:45:51.100]  ,
[00:45:51.100 --> 00:45:51.410]   right
[00:45:51.410 --> 00:45:51.530]  ,
[00:45:51.530 --> 00:45:51.690]   or
[00:45:51.690 --> 00:45:52.040]   lead
[00:45:52.040 --> 00:45:52.340]   evangel
[00:45:52.340 --> 00:45:52.520]  ist
[00:45:52.520 --> 00:45:52.660]   or
[00:45:52.660 --> 00:45:53.470]   something
[00:45:53.470 --> 00:45:53.480]  . [SPEAKER_TURN]
[00:45:53.480 --> 00:45:53.480]  
[00:45:53.480 --> 00:45:53.710]   evangel
[00:45:53.710 --> 00:45:53.810]  ist
[00:45:53.810 --> 00:45:53.860]   he
[00:45:53.860 --> 00:45:54.030]  ,
[00:45:54.030 --> 00:45:54.030]   was
[00:45:54.030 --> 00:45:54.130]   the
[00:45:54.130 --> 00:45:54.300]   first
[00:45:54.300 --> 00:45:54.420]   to
[00:45:54.420 --> 00:45:54.440]   be
[00:45:54.440 --> 00:45:54.840]  . [SPEAKER_TURN]
[00:45:54.840 --> 00:45:55.340]   that
[00:45:55.340 --> 00:45:55.590]   he
[00:45:55.590 --> 00:45:56.080]   says
[00:45:56.080 --> 00:45:56.340]   is
[00:45:56.340 --> 00:45:57.220]   release
[00:45:57.220 --> 00:45:57.950]   then
[00:45:57.950 --> 00:45:58.220]   test
[00:45:58.220 --> 00:45:58.590]  .
[00:45:58.590 --> 00:45:58.800]   That
[00:45:58.800 --> 00:45:59.640]  's
[00:45:59.640 --> 00:45:59.710]   one
[00:45:59.710 --> 00:45:59.990]   of
[00:45:59.990 --> 00:46:00.330]   his
[00:46:00.330 --> 00:46:00.620]   co
[00:46:00.620 --> 00:46:01.060]   his [SPEAKER_TURN]
[00:46:01.060 --> 00:46:01.220]   be
[00:46:01.220 --> 00:46:01.270]   c
[00:46:01.270 --> 00:46:01.410]   be
[00:46:01.410 --> 00:46:01.550]   it
[00:46:01.550 --> 00:46:01.770]   don
[00:46:01.770 --> 00:46:02.010]  't
[00:46:02.010 --> 00:46:02.250]   worry
[00:46:02.250 --> 00:46:02.390]   be
[00:46:02.390 --> 00:46:02.810]   crappy
[00:46:02.810 --> 00:46:03.600]  . [SPEAKER_TURN]
[00:46:03.600 --> 00:46:04.010]   Yeah
[00:46:04.010 --> 00:46:04.040]   and
[00:46:04.040 --> 00:46:04.160]  ,
[00:46:04.160 --> 00:46:04.280]   it
[00:46:04.280 --> 00:46:04.400]  's
[00:46:04.400 --> 00:46:04.520]   it
[00:46:04.520 --> 00:46:04.640]  's
[00:46:04.640 --> 00:46:05.120]   release
[00:46:05.120 --> 00:46:05.330]   then
[00:46:05.330 --> 00:46:05.600]   test
[00:46:05.600 --> 00:46:05.770]  .
[00:46:05.770 --> 00:46:05.830]   I
[00:46:05.830 --> 00:46:06.080]   mean
[00:46:06.080 --> 00:46:06.200]   he
[00:46:06.200 --> 00:46:06.380]   you
[00:46:06.380 --> 00:46:06.900]   remember
[00:46:06.900 --> 00:46:07.150]   that
[00:46:07.150 --> 00:46:07.540]   three
[00:46:07.540 --> 00:46:07.760]   line
[00:46:07.760 --> 00:46:07.840]   uh
[00:46:07.840 --> 00:46:08.160]   three
[00:46:08.160 --> 00:46:08.410]   word
[00:46:08.410 --> 00:46:08.790]   advice
[00:46:08.790 --> 00:46:09.110]   start
[00:46:09.110 --> 00:46:09.170]  -
[00:46:09.170 --> 00:46:09.650]  up
[00:46:09.650 --> 00:46:09.670]   advice
[00:46:09.670 --> 00:46:09.860]  .
[00:46:09.860 --> 00:46:10.000]   He
[00:46:10.000 --> 00:46:10.350]   added
[00:46:10.350 --> 00:46:10.420]   to
[00:46:10.420 --> 00:46:10.680]   the
[00:46:10.680 --> 00:46:10.860]   list
[00:46:10.860 --> 00:46:11.310]   release
[00:46:11.310 --> 00:46:11.540]   then
[00:46:11.540 --> 00:46:12.070]   test
[00:46:12.070 --> 00:46:12.120]   which
[00:46:12.120 --> 00:46:12.500]  , [SPEAKER_TURN]
[00:46:12.500 --> 00:46:12.530]  
[00:46:12.530 --> 00:46:12.540]   I
[00:46:12.540 --> 00:46:12.750]   guess
[00:46:12.750 --> 00:46:12.860]   the
[00:46:12.860 --> 00:46:12.900]   I
[00:46:12.900 --> 00:46:13.100]   guess
[00:46:13.100 --> 00:46:13.220]   the
[00:46:13.220 --> 00:46:13.370]   real
[00:46:13.370 --> 00:46:13.500]   the
[00:46:13.500 --> 00:46:13.700]   thing
[00:46:13.700 --> 00:46:13.800]   is
[00:46:13.800 --> 00:46:13.910]   way
[00:46:13.910 --> 00:46:14.000]   to
[00:46:14.000 --> 00:46:14.180]   think
[00:46:14.180 --> 00:46:14.430]   about
[00:46:14.430 --> 00:46:14.460]   it
[00:46:14.460 --> 00:46:14.540]   is
[00:46:14.540 --> 00:46:14.840]   that
[00:46:14.840 --> 00:46:14.900]   don
[00:46:14.900 --> 00:46:14.930]  't
[00:46:14.930 --> 00:46:15.290]   have
[00:46:15.290 --> 00:46:15.340]   a
[00:46:15.340 --> 00:46:15.670]   lot
[00:46:15.670 --> 00:46:16.050]   of
[00:46:16.050 --> 00:46:16.190]   features
[00:46:16.190 --> 00:46:16.310]  ,
[00:46:16.310 --> 00:46:16.500]   try
[00:46:16.500 --> 00:46:16.690]   and
[00:46:16.690 --> 00:46:16.890]   be
[00:46:16.890 --> 00:46:16.950]   at
[00:46:16.950 --> 00:46:17.140]   the
[00:46:17.140 --> 00:46:17.400]   core
[00:46:17.400 --> 00:46:17.720]   of
[00:46:17.720 --> 00:46:17.730]   the
[00:46:17.730 --> 00:46:18.170]   problem
[00:46:18.170 --> 00:46:18.290]  ,
[00:46:18.290 --> 00:46:18.520]   but
[00:46:18.520 --> 00:46:18.920]   those
[00:46:18.920 --> 00:46:19.320]   features
[00:46:19.320 --> 00:46:19.510]   you
[00:46:19.510 --> 00:46:19.720]   do
[00:46:19.720 --> 00:46:19.770]   do
[00:46:19.770 --> 00:46:20.190]   really
[00:46:20.190 --> 00:46:20.560]   polish
[00:46:20.560 --> 00:46:20.810]   them
[00:46:20.810 --> 00:46:21.170]   right
[00:46:21.170 --> 00:46:21.250]  ,
[00:46:21.250 --> 00:46:21.380]   So
[00:46:21.380 --> 00:46:21.630]   that
[00:46:21.630 --> 00:46:21.750]  's
[00:46:21.750 --> 00:46:21.760]   what
[00:46:21.760 --> 00:46:22.200]   I
[00:46:22.200 --> 00:46:22.230]  ,
[00:46:22.230 --> 00:46:22.520]   think
[00:46:22.520 --> 00:46:22.920]   basis
[00:46:22.920 --> 00:46:23.100]   that
[00:46:23.100 --> 00:46:23.240]  's
[00:46:23.240 --> 00:46:23.480]   what
[00:46:23.480 --> 00:46:23.670]   the
[00:46:23.670 --> 00:46:24.110]   thirty
[00:46:24.110 --> 00:46:24.410]   seven
[00:46:24.410 --> 00:46:24.820]   signals
[00:46:24.820 --> 00:46:25.080]   guys
[00:46:25.080 --> 00:46:25.440]   are
[00:46:25.440 --> 00:46:25.740]   always
[00:46:25.740 --> 00:46:25.800]   um
[00:46:25.800 --> 00:46:26.210]   trying
[00:46:26.210 --> 00:46:26.320]   to
[00:46:26.320 --> 00:46:26.450]   uh
[00:46:26.450 --> 00:46:26.840]   always
[00:46:26.840 --> 00:46:27.360]   claiming
[00:46:27.360 --> 00:46:27.800]   that
[00:46:27.800 --> 00:46:27.810]   the
[00:46:27.810 --> 00:46:28.070]   most
[00:46:28.070 --> 00:46:28.810]   important
[00:46:28.810 --> 00:46:28.970]   thing
[00:46:28.970 --> 00:46:29.120]   to
[00:46:29.120 --> 00:46:29.230]   do
[00:46:29.230 --> 00:46:29.360]   is
[00:46:29.360 --> 00:46:29.650]   just
[00:46:29.650 --> 00:46:30.070]   release
[00:46:30.070 --> 00:46:30.330]   half
[00:46:30.330 --> 00:46:30.390]   a
[00:46:30.390 --> 00:46:30.840]   product
[00:46:30.840 --> 00:46:31.030]   not
[00:46:31.030 --> 00:46:31.150]  ,
[00:46:31.150 --> 00:46:31.210]   a
[00:46:31.210 --> 00:46:31.470]   half
[00:46:31.470 --> 00:46:31.730]   past
[00:46:31.730 --> 00:46:32.180]   product
[00:46:32.180 --> 00:46:33.140]  . [SPEAKER_TURN]
[00:46:41.680 --> 00:46:41.710]  
[00:46:41.710 --> 00:46:41.990]   Right
[00:46:41.990 --> 00:46:42.180]  .
[00:46:42.180 --> 00:46:42.300]   You
[00:46:42.300 --> 00:46:42.450]   don
[00:46:42.450 --> 00:46:42.500]  't
[00:46:42.500 --> 00:46:42.660]   need
[00:46:42.660 --> 00:46:42.740]   it
[00:46:42.740 --> 00:46:42.860]   as
[00:46:42.860 --> 00:46:42.970]   a
[00:46:42.970 --> 00:46:43.140]   product
[00:46:43.140 --> 00:46:43.240]  ,
[00:46:43.240 --> 00:46:43.540]   features
[00:46:43.540 --> 00:46:43.680]   etc
[00:46:43.680 --> 00:46:43.820]  eter
[00:46:43.820 --> 00:46:43.860]  a
[00:46:43.860 --> 00:46:44.030]  .
[00:46:44.030 --> 00:46:44.140]   So
[00:46:44.140 --> 00:46:44.350]   you
[00:46:44.350 --> 00:46:44.480]   know
[00:46:44.480 --> 00:46:45.270]   when
[00:46:45.270 --> 00:46:45.290]   Apple
[00:46:45.290 --> 00:46:45.900]   releases
[00:46:45.900 --> 00:46:46.160]   like
[00:46:46.160 --> 00:46:46.450]   they
[00:46:46.450 --> 00:46:46.740]   talk
[00:46:46.740 --> 00:46:47.100]   about
[00:46:47.100 --> 00:46:47.310]   the
[00:46:47.310 --> 00:46:47.380]   I
[00:46:47.380 --> 00:46:47.450]  _
[00:46:47.450 --> 00:46:47.520]   P
[00:46:47.520 --> 00:46:47.590]  _
[00:46:47.590 --> 00:46:47.930]   or
[00:46:47.930 --> 00:46:48.020]   when
[00:46:48.020 --> 00:46:48.380]   their
[00:46:48.380 --> 00:46:48.730]   first
[00:46:48.730 --> 00:46:49.250]   version
[00:46:49.250 --> 00:46:49.390]   of
[00:46:49.390 --> 00:46:49.680]   like
[00:46:49.680 --> 00:46:49.890]   the
[00:46:49.890 --> 00:46:50.200]   iPod
[00:46:50.200 --> 00:46:50.320]   or
[00:46:50.320 --> 00:46:50.610]   some
[00:46:50.610 --> 00:46:50.750]   of
[00:46:50.750 --> 00:46:51.180]   the
[00:46:51.180 --> 00:46:51.320]   stuff
[00:46:51.320 --> 00:46:51.390]   w
[00:46:51.390 --> 00:46:51.750]   maybe
[00:46:51.750 --> 00:46:52.040]   this
[00:46:52.040 --> 00:46:52.660]   this [SPEAKER_TURN]
[00:46:52.660 --> 00:46:52.930]   Yeah
[00:46:52.930 --> 00:46:53.220]   they
[00:46:53.220 --> 00:46:53.470]   talk
[00:46:53.470 --> 00:46:53.810]   about
[00:46:53.810 --> 00:46:53.970]   that
[00:46:53.970 --> 00:46:54.550]   right
[00:46:54.550 --> 00:46:54.620]  ,
[00:46:54.620 --> 00:46:54.680]   So
[00:46:54.680 --> 00:46:54.950]   that
[00:46:54.950 --> 00:46:55.120]  's
[00:46:55.120 --> 00:46:55.290]   one
[00:46:55.290 --> 00:46:55.480]   way
[00:46:55.480 --> 00:46:55.610]   of
[00:46:55.610 --> 00:46:56.080]   doing
[00:46:56.080 --> 00:46:56.090]   it
[00:46:56.090 --> 00:46:56.380]  .
[00:46:56.380 --> 00:46:56.550]   Okay
[00:46:56.550 --> 00:46:56.770]   but
[00:46:56.770 --> 00:46:57.020]   here
[00:46:57.020 --> 00:46:57.150]  's
[00:46:57.150 --> 00:46:57.630]   another
[00:46:57.630 --> 00:46:58.380]   interesting
[00:46:58.380 --> 00:46:58.720]   thing
[00:46:58.720 --> 00:46:58.780]   I
[00:46:58.780 --> 00:46:59.150]   think
[00:46:59.150 --> 00:46:59.500]   about
[00:46:59.500 --> 00:46:59.580]   um
[00:46:59.580 --> 00:46:59.860]   yeah
[00:46:59.860 --> 00:46:59.920]   '
[00:46:59.920 --> 00:47:00.260]  cause
[00:47:00.260 --> 00:47:00.880]   Microsoft
[00:47:00.880 --> 00:47:01.560]   definitely
[00:47:01.560 --> 00:47:02.040]   does
[00:47:02.040 --> 00:47:02.310]   you
[00:47:02.310 --> 00:47:03.310]   know
[00:47:03.310 --> 00:47:03.480]   release
[00:47:03.480 --> 00:47:03.580]   and
[00:47:03.580 --> 00:47:03.970]   then
[00:47:03.970 --> 00:47:04.210]   fix
[00:47:04.210 --> 00:47:04.640]   stuff
[00:47:04.640 --> 00:47:05.700]  . [SPEAKER_TURN]
[00:47:05.700 --> 00:47:05.860]   Oh
[00:47:05.860 --> 00:47:06.180]   yeah
[00:47:06.180 --> 00:47:06.520]   yeah
[00:47:06.520 --> 00:47:06.680]  ,
[00:47:06.680 --> 00:47:06.760]   I
[00:47:06.760 --> 00:47:07.090]   mean
[00:47:07.090 --> 00:47:07.250]   wh
[00:47:07.250 --> 00:47:07.320]  a
[00:47:07.320 --> 00:47:07.600]   like
[00:47:07.600 --> 00:47:08.150]   Word
[00:47:08.150 --> 00:47:08.180]   is
[00:47:08.180 --> 00:47:09.260]   just [SPEAKER_TURN]
[00:47:09.980 --> 00:47:10.020]  
[00:47:10.020 --> 00:47:10.030]   I
[00:47:10.030 --> 00:47:10.240]   mean
[00:47:10.240 --> 00:47:10.450]   they
[00:47:10.450 --> 00:47:10.610]   don
[00:47:10.610 --> 00:47:10.710]  't
[00:47:10.710 --> 00:47:10.920]   have
[00:47:10.920 --> 00:47:10.970]   a
[00:47:10.970 --> 00:47:11.370]   minimal
[00:47:11.370 --> 00:47:11.710]   viable
[00:47:11.710 --> 00:47:12.030]   product
[00:47:12.030 --> 00:47:12.130]   in
[00:47:12.130 --> 00:47:12.290]   the
[00:47:12.290 --> 00:47:12.560]   sense
[00:47:12.560 --> 00:47:12.660]   it
[00:47:12.660 --> 00:47:12.920]   doesn
[00:47:12.920 --> 00:47:13.030]  't
[00:47:13.030 --> 00:47:13.190]   do
[00:47:13.190 --> 00:47:13.310]   anything
[00:47:13.310 --> 00:47:13.760]   it
[00:47:13.760 --> 00:47:13.800]  ,
[00:47:13.800 --> 00:47:14.020]   does
[00:47:14.020 --> 00:47:14.040]   a
[00:47:14.040 --> 00:47:14.180]   lot
[00:47:14.180 --> 00:47:14.280]   of
[00:47:14.280 --> 00:47:14.600]   stuff
[00:47:14.600 --> 00:47:14.650]   it
[00:47:14.650 --> 00:47:14.960]   just
[00:47:14.960 --> 00:47:14.960]   it
[00:47:14.960 --> 00:47:15.260]   breaks
[00:47:15.260 --> 00:47:15.330]   a
[00:47:15.330 --> 00:47:15.480]   lot
[00:47:15.480 --> 00:47:15.790]  .
[00:47:15.790 --> 00:47:16.440]   Now [SPEAKER_TURN]
[00:47:16.440 --> 00:47:16.570]   Blue
[00:47:16.570 --> 00:47:16.770]   screen
[00:47:16.770 --> 00:47:16.830]   to
[00:47:16.830 --> 00:47:17.000]   death
[00:47:17.000 --> 00:47:17.400]  . [SPEAKER_TURN]
[00:47:18.140 --> 00:47:18.180]  
[00:47:18.180 --> 00:47:18.320]   But
[00:47:18.320 --> 00:47:18.570]   here
[00:47:18.570 --> 00:47:19.020]  's
[00:47:19.020 --> 00:47:19.130]   another
[00:47:19.130 --> 00:47:19.820]   interesting
[00:47:19.820 --> 00:47:19.940]   uh
[00:47:19.940 --> 00:47:20.230]   sort
[00:47:20.230 --> 00:47:20.310]   of
[00:47:20.310 --> 00:47:20.450]   um
[00:47:20.450 --> 00:47:20.550]   ha
[00:47:20.550 --> 00:47:20.860]   what
[00:47:20.860 --> 00:47:20.870]   I
[00:47:20.870 --> 00:47:20.980]  'm
[00:47:20.980 --> 00:47:21.420]   finding
[00:47:21.420 --> 00:47:21.770]   is
[00:47:21.770 --> 00:47:21.790]   sort
[00:47:21.790 --> 00:47:21.900]   of
[00:47:21.900 --> 00:47:22.280]   a
[00:47:22.280 --> 00:47:22.530]   cognitive
[00:47:22.530 --> 00:47:22.920]   disson
[00:47:22.920 --> 00:47:23.150]  ance
[00:47:23.150 --> 00:47:23.460]   which
[00:47:23.460 --> 00:47:23.580]   is
[00:47:23.580 --> 00:47:23.870]   that
[00:47:23.870 --> 00:47:24.140]   there
[00:47:24.140 --> 00:47:24.260]  's
[00:47:24.260 --> 00:47:24.570]   these
[00:47:24.570 --> 00:47:24.770]   two
[00:47:24.770 --> 00:47:25.100]   ideas
[00:47:25.100 --> 00:47:25.350]   that
[00:47:25.350 --> 00:47:25.870]   everybody
