
[00:00:00.000 --> 00:00:00.070]  
[00:00:00.070 --> 00:00:00.160]   J
[00:40:08.510 --> 00:40:09.260]   like [SPEAKER_TURN]
[00:40:09.260 --> 00:40:09.670]   Yeah
[00:40:09.670 --> 00:40:10.820]  . [SPEAKER_TURN]
[00:40:10.820 --> 00:40:10.970]   Yeah
[00:40:10.970 --> 00:40:11.400]  . [SPEAKER_TURN]
[00:40:11.400 --> 00:40:11.430]  
[00:40:11.430 --> 00:40:11.490]   it
[00:40:11.490 --> 00:40:11.660]   it
[00:40:11.660 --> 00:40:11.910]   another
[00:40:11.910 --> 00:40:12.050]   way
[00:40:12.050 --> 00:40:12.140]   of
[00:40:12.140 --> 00:40:12.420]   saying
[00:40:12.420 --> 00:40:12.510]   is
[00:40:12.510 --> 00:40:12.650]   you
[00:40:12.650 --> 00:40:12.790]  're
[00:40:12.790 --> 00:40:13.020]   being
[00:40:13.020 --> 00:40:13.440]   objective
[00:40:13.440 --> 00:40:13.530]   as
[00:40:13.530 --> 00:40:13.570]   a
[00:40:13.570 --> 00:40:13.770]   well
[00:40:13.770 --> 00:40:13.850]   as
[00:40:13.850 --> 00:40:14.180]   opposed
[00:40:14.180 --> 00:40:14.270]   to
[00:40:14.270 --> 00:40:14.800]   subjective
[00:40:14.800 --> 00:40:14.980]  .
[00:40:14.980 --> 00:40:15.160]   You
[00:40:15.160 --> 00:40:15.380]  're
[00:40:15.380 --> 00:40:15.490]   not
[00:40:15.490 --> 00:40:15.720]   just
[00:40:15.720 --> 00:40:16.070]   asking
[00:40:16.070 --> 00:40:16.300]   what
[00:40:16.300 --> 00:40:16.530]   your
[00:40:16.530 --> 00:40:16.880]   friend
[00:40:16.880 --> 00:40:16.990]   or
[00:40:16.990 --> 00:40:17.220]   your
[00:40:17.220 --> 00:40:17.450]   wife
[00:40:17.450 --> 00:40:17.800]   thinks
[00:40:17.800 --> 00:40:17.910]  ,
[00:40:17.910 --> 00:40:18.080]   you
[00:40:18.080 --> 00:40:18.310]   know
[00:40:18.310 --> 00:40:18.480]  .
[00:40:18.480 --> 00:40:18.640]   You
[00:40:18.640 --> 00:40:18.870]  're
[00:40:18.870 --> 00:40:18.930]   a
[00:40:18.930 --> 00:40:19.040]   you
[00:40:19.040 --> 00:40:19.210]  're
[00:40:19.210 --> 00:40:19.380]   you
[00:40:19.380 --> 00:40:19.550]  're
[00:40:19.550 --> 00:40:19.900]   asking
[00:40:19.900 --> 00:40:20.070]   the
[00:40:20.070 --> 00:40:20.420]   market
[00:40:20.420 --> 00:40:20.650]   what
[00:40:20.650 --> 00:40:20.760]   it
[00:40:20.760 --> 00:40:21.110]   thinks
[00:40:21.110 --> 00:40:21.210]  ,
[00:40:21.210 --> 00:40:21.380]   but
[00:40:21.380 --> 00:40:21.640]   you
[00:40:21.640 --> 00:40:21.730]  're
[00:40:21.730 --> 00:40:21.840]   uh
[00:40:21.840 --> 00:40:22.030]   but
[00:40:22.030 --> 00:40:22.120]   by
[00:40:22.120 --> 00:40:22.290]   ask
[00:40:22.290 --> 00:40:22.460]   but
[00:40:22.460 --> 00:40:22.630]   you
[00:40:22.630 --> 00:40:22.800]  're
[00:40:22.800 --> 00:40:23.030]   only
[00:40:23.030 --> 00:40:23.440]   asking
[00:40:23.440 --> 00:40:23.550]   the
[00:40:23.550 --> 00:40:24.080]   important
[00:40:24.080 --> 00:40:24.550]   question
[00:40:24.550 --> 00:40:24.840]   which
[00:40:24.840 --> 00:40:24.950]   is
[00:40:24.950 --> 00:40:25.120]   are
[00:40:25.120 --> 00:40:25.350]   they
[00:40:25.350 --> 00:40:25.640]   doing
[00:40:25.640 --> 00:40:25.870]   what
[00:40:25.870 --> 00:40:26.040]   you
[00:40:26.040 --> 00:40:26.210]  're
[00:40:26.210 --> 00:40:26.440]   want
[00:40:26.440 --> 00:40:26.670]   them
[00:40:26.670 --> 00:40:26.780]   to
[00:40:26.780 --> 00:40:26.890]   do
[00:40:26.890 --> 00:40:27.180]   which
[00:40:27.180 --> 00:40:27.300]   is
[00:40:27.300 --> 00:40:27.520]   sign
[00:40:27.520 --> 00:40:27.630]   up
[00:40:27.630 --> 00:40:27.740]   or
[00:40:27.740 --> 00:40:27.850]   or
[00:40:27.850 --> 00:40:28.020]   pay
[00:40:28.020 --> 00:40:28.190]   for
[00:40:28.190 --> 00:40:28.390]   the
[00:40:28.390 --> 00:40:28.770]   product
[00:40:28.770 --> 00:40:28.880]   or
[00:40:28.880 --> 00:40:29.350]   whatever
[00:40:29.350 --> 00:40:29.640]   right
[00:40:29.640 --> 00:40:30.390]  .
[00:40:30.390 --> 00:40:30.680]   Yeah
[00:40:30.680 --> 00:40:30.910]  ,
[00:40:30.910 --> 00:40:30.960]   so
[00:40:30.960 --> 00:40:31.030]   I
[00:40:31.030 --> 00:40:31.170]   an
[00:40:31.170 --> 00:40:31.390]   and
[00:40:31.390 --> 00:40:31.450]   I
[00:40:31.450 --> 00:40:31.800]   think
[00:40:31.800 --> 00:40:31.950]   th
[00:40:31.950 --> 00:40:32.490]   another
[00:40:32.490 --> 00:40:32.810]   thing
[00:40:32.810 --> 00:40:32.880]   I
[00:40:32.880 --> 00:40:33.240]   think
[00:40:33.240 --> 00:40:33.520]   that
[00:40:33.520 --> 00:40:33.820]   you
[00:40:33.820 --> 00:40:33.870]   do
[00:40:33.870 --> 00:40:33.940]   a
[00:40:33.940 --> 00:40:34.150]   lot
[00:40:34.150 --> 00:40:34.430]   and
[00:40:34.430 --> 00:40:34.430]   I
[00:40:34.430 --> 00:40:34.940]   think
[00:40:34.940 --> 00:40:35.400]   probably
[00:40:35.400 --> 00:40:35.570]   all
[00:40:35.570 --> 00:40:35.710]   of
[00:40:35.710 --> 00:40:35.850]   us
[00:40:35.850 --> 00:40:35.990]   do
[00:40:35.990 --> 00:40:36.270]   this
[00:40:36.270 --> 00:40:36.480]   but
[00:40:36.480 --> 00:40:36.550]   I
[00:40:36.550 --> 00:40:36.980]   notice
[00:40:36.980 --> 00:40:37.190]   you
[00:40:37.190 --> 00:40:37.350]   do
[00:40:37.350 --> 00:40:37.400]   a
[00:40:37.400 --> 00:40:37.610]   lot
[00:40:37.610 --> 00:40:37.750]   is
[00:40:37.750 --> 00:40:38.030]   that
[00:40:38.030 --> 00:40:38.250]   you
[00:40:38.250 --> 00:40:38.450]  'll
[00:40:38.450 --> 00:40:38.660]   get
[00:40:38.660 --> 00:40:38.890]   two
[00:40:38.890 --> 00:40:39.010]   or
[00:40:39.010 --> 00:40:39.450]   three
[00:40:39.450 --> 00:40:39.650]   data
[00:40:39.650 --> 00:40:40.080]   points
[00:40:40.080 --> 00:40:40.290]   and
[00:40:40.290 --> 00:40:40.500]   you
[00:40:40.500 --> 00:40:40.930]  'll
[00:40:40.930 --> 00:40:40.990]   form
[00:40:40.990 --> 00:40:41.400]   an
[00:40:41.400 --> 00:40:41.400]  
[00:40:41.400 --> 00:40:41.910]   opinion
[00:40:41.910 --> 00:40:42.010]  .
[00:40:42.010 --> 00:40:42.090]   Oh
[00:40:42.090 --> 00:40:42.220]   yeah
[00:40:42.220 --> 00:40:42.430]   well
[00:40:42.430 --> 00:40:42.480]   I
[00:40:42.480 --> 00:40:42.790]   talked
[00:40:42.790 --> 00:40:42.900]   to
[00:40:42.900 --> 00:40:42.990]   so
[00:40:42.990 --> 00:40:43.040]  -
[00:40:43.040 --> 00:40:43.190]  and
[00:40:43.190 --> 00:40:43.240]  -
[00:40:43.240 --> 00:40:43.340]  so
[00:40:43.340 --> 00:40:43.490]   and
[00:40:43.490 --> 00:40:43.960]   Sebastian
[00:40:43.960 --> 00:40:44.220]   likes
[00:40:44.220 --> 00:40:44.320]   it
[00:40:44.320 --> 00:40:44.470]   and
[00:40:44.470 --> 00:40:44.730]   Georg
[00:40:44.730 --> 00:40:44.830]  ie
[00:40:44.830 --> 00:40:45.090]   likes
[00:40:45.090 --> 00:40:45.240]   it
[00:40:45.240 --> 00:40:45.270]   I
[00:40:45.270 --> 00:40:45.340]  'm
[00:40:45.340 --> 00:40:45.630]   like
[00:40:45.630 --> 00:40:45.760]   well
[00:40:45.760 --> 00:40:45.970]   what
[00:40:45.970 --> 00:40:46.120]   the
[00:40:46.120 --> 00:40:46.330]   hell
[00:40:46.330 --> 00:40:46.540]   does
[00:40:46.540 --> 00:40:46.750]   that
[00:40:46.750 --> 00:40:47.110]   mean
[00:40:47.110 --> 00:40:47.240]   Two
[00:40:47.240 --> 00:40:47.260]  ?
[00:40:47.260 --> 00:40:47.600]   people
[00:40:47.600 --> 00:40:48.050]  ?
[00:40:48.050 --> 00:40:48.050]   And
[00:40:48.050 --> 00:40:48.160]   me
[00:40:48.160 --> 00:40:48.300]   and
[00:40:48.300 --> 00:40:48.550]   I
[00:40:48.550 --> 00:40:48.600]   and
[00:40:48.600 --> 00:40:48.640]   I
[00:40:48.640 --> 00:40:48.830]   like
[00:40:48.830 --> 00:40:48.940]   it
[00:40:48.940 --> 00:40:49.110]   you
[00:40:49.110 --> 00:40:49.340]   know
[00:40:49.340 --> 00:40:49.570]   that
[00:40:49.570 --> 00:40:49.680]  's
[00:40:49.680 --> 00:40:49.980]   three
[00:40:49.980 --> 00:40:50.320]   people
[00:40:50.320 --> 00:40:50.570]  .
[00:40:50.570 --> 00:40:50.720]   That
[00:40:50.720 --> 00:40:50.830]  's
[00:40:50.830 --> 00:40:51.000]   not
[00:40:51.000 --> 00:40:51.800]   statistically
[00:40:51.800 --> 00:40:52.420]   significant
[00:40:52.420 --> 00:40:52.570]  .
[00:40:52.570 --> 00:40:52.800]   That
[00:40:52.800 --> 00:40:53.090]   doesn
[00:40:53.090 --> 00:40:53.200]  't
[00:40:53.200 --> 00:40:53.430]   mean
[00:40:53.430 --> 00:40:53.890]   anything
[00:40:53.890 --> 00:40:54.090]  .
[00:40:54.090 --> 00:40:54.530]   Right
[00:40:54.530 --> 00:40:54.640]   You
[00:40:54.640 --> 00:40:54.700]  .
[00:40:54.700 --> 00:40:55.320]   be [SPEAKER_TURN]
[00:41:01.340 --> 00:41:01.380]  
[00:41:01.380 --> 00:41:01.870]   Yeah
[00:41:01.870 --> 00:41:02.400]   yeah
[00:41:02.400 --> 00:41:02.930]   yeah
[00:41:02.930 --> 00:41:03.540]   yeah
[00:41:03.540 --> 00:41:03.990]   yeah
[00:41:03.990 --> 00:41:04.520]   yeah
[00:41:04.520 --> 00:41:04.920]  .
[00:41:04.920 --> 00:41:05.590]   Right
[00:41:05.590 --> 00:41:07.100]  . [SPEAKER_TURN]
[00:41:07.100 --> 00:41:07.240]   Oh
[00:41:07.240 --> 00:41:07.380]   but
[00:41:07.380 --> 00:41:07.600]   yeah
[00:41:07.600 --> 00:41:07.650]   I
[00:41:07.650 --> 00:41:07.870]   mean
[00:41:07.870 --> 00:41:08.250]   you
[00:41:08.250 --> 00:41:08.260]   what
[00:41:08.260 --> 00:41:08.310]   I
[00:41:08.310 --> 00:41:08.420]  'm
[00:41:08.420 --> 00:41:08.640]   just
[00:41:08.640 --> 00:41:08.980]   saying
[00:41:08.980 --> 00:41:09.090]   is
[00:41:09.090 --> 00:41:09.310]   that
[00:41:09.310 --> 00:41:09.480]   you
[00:41:09.480 --> 00:41:09.650]   you
[00:41:09.650 --> 00:41:09.870]   know
[00:41:09.870 --> 00:41:10.040]   you
[00:41:10.040 --> 00:41:10.350]   wanna
[00:41:10.350 --> 00:41:10.490]   get
[00:41:10.490 --> 00:41:10.710]   more
[00:41:10.710 --> 00:41:10.930]   data
[00:41:10.930 --> 00:41:11.370]   driven
[00:41:11.370 --> 00:41:11.570]   and
[00:41:11.570 --> 00:41:11.610]   you
[00:41:11.610 --> 00:41:11.830]   want
[00:41:11.830 --> 00:41:11.940]   to
[00:41:11.940 --> 00:41:12.160]   make
[00:41:12.160 --> 00:41:12.380]   sure
[00:41:12.380 --> 00:41:12.600]   when
[00:41:12.600 --> 00:41:12.770]   you
[00:41:12.770 --> 00:41:12.880]   do
[00:41:12.880 --> 00:41:13.100]   make
[00:41:13.100 --> 00:41:13.550]   opinions
[00:41:13.550 --> 00:41:13.780]   like
[00:41:13.780 --> 00:41:13.940]   you
[00:41:13.940 --> 00:41:14.220]   wanna
[00:41:14.220 --> 00:41:14.440]   have
[00:41:14.440 --> 00:41:14.670]   some
[00:41:14.670 --> 00:41:14.710]   a
[00:41:14.710 --> 00:41:15.050]   little
[00:41:15.050 --> 00:41:15.270]   more
[00:41:15.270 --> 00:41:15.890]   statistical
[00:41:15.890 --> 00:41:16.560]   significance
[00:41:16.560 --> 00:41:16.740]  .
[00:41:16.740 --> 00:41:16.860]   So
[00:41:16.860 --> 00:41:16.970]   if
[00:41:16.970 --> 00:41:17.130]   you
[00:41:17.130 --> 00:41:17.300]  're
[00:41:17.300 --> 00:41:17.670]   gonna
[00:41:17.670 --> 00:41:17.790]   say
[00:41:17.790 --> 00:41:17.970]   well
[00:41:17.970 --> 00:41:18.020]   I
[00:41:18.020 --> 00:41:18.130]  'm
[00:41:18.130 --> 00:41:18.300]   not
[00:41:18.300 --> 00:41:18.580]   gonna
[00:41:18.580 --> 00:41:18.820]   go
[00:41:18.820 --> 00:41:18.860]   and
[00:41:18.860 --> 00:41:19.140]   visit
[00:41:19.140 --> 00:41:19.480]   thirty
[00:41:19.480 --> 00:41:19.580]   or
[00:41:19.580 --> 00:41:19.870]   forty
[00:41:19.870 --> 00:41:20.370]   customers
[00:41:20.370 --> 00:41:20.400]   and
[00:41:20.400 --> 00:41:20.600]   I
[00:41:20.600 --> 00:41:20.860]  'm
[00:41:20.860 --> 00:41:20.960]   not
[00:41:20.960 --> 00:41:21.160]   gonna
[00:41:21.160 --> 00:41:21.380]   talk
[00:41:21.380 --> 00:41:21.490]   to
[00:41:21.490 --> 00:41:21.800]   fifty
[00:41:21.800 --> 00:41:21.880]   to
[00:41:21.880 --> 00:41:21.930]   a
[00:41:21.930 --> 00:41:22.320]   hundred
[00:41:22.320 --> 00:41:22.830]   customers
[00:41:22.830 --> 00:41:22.940]   on
[00:41:22.940 --> 00:41:23.110]   the
[00:41:23.110 --> 00:41:23.390]   phone
[00:41:23.390 --> 00:41:23.500]  ,
[00:41:23.500 --> 00:41:23.550]   I
[00:41:23.550 --> 00:41:23.660]  'm
[00:41:23.660 --> 00:41:23.940]   gonna
[00:41:23.940 --> 00:41:24.050]   do
[00:41:24.050 --> 00:41:24.270]   case
[00:41:24.270 --> 00:41:24.680]   studies
[00:41:24.680 --> 00:41:24.710]   I
[00:41:24.710 --> 00:41:24.820]  'm
[00:41:24.820 --> 00:41:25.040]   like
[00:41:25.040 --> 00:41:25.300]   well
[00:41:25.300 --> 00:41:25.430]   don
[00:41:25.430 --> 00:41:25.540]  't
[00:41:25.540 --> 00:41:25.660]   do
[00:41:25.660 --> 00:41:25.870]   just
[00:41:25.870 --> 00:41:26.150]   three
[00:41:26.150 --> 00:41:26.370]   case
[00:41:26.370 --> 00:41:26.760]   studies
[00:41:26.760 --> 00:41:26.930]  .
[00:41:26.930 --> 00:41:27.190]   Right
[00:41:27.190 --> 00:41:27.710]   Because
[00:41:27.710 --> 00:41:27.770]  ?
[00:41:27.770 --> 00:41:27.990]   that
[00:41:27.990 --> 00:41:28.320]  's
[00:41:28.320 --> 00:41:28.330]   that
[00:41:28.330 --> 00:41:28.600]   could
[00:41:28.600 --> 00:41:28.820]   that
[00:41:28.820 --> 00:41:28.930]  's
[00:41:28.930 --> 00:41:29.120]   not
[00:41:29.120 --> 00:41:29.150]   s
[00:41:29.150 --> 00:41:30.920]   statistically [SPEAKER_TURN]
[00:41:30.920 --> 00:41:30.940]  
[00:41:30.940 --> 00:41:31.460]   significant
[00:41:31.460 --> 00:41:31.610]  .
[00:41:31.610 --> 00:41:31.740]   You
[00:41:31.740 --> 00:41:31.830]   it
[00:41:31.830 --> 00:41:32.070]   could
[00:41:32.070 --> 00:41:32.260]   turn
[00:41:32.260 --> 00:41:32.490]   out
[00:41:32.490 --> 00:41:32.590]   that
[00:41:32.590 --> 00:41:32.730]   the
[00:41:32.730 --> 00:41:32.920]   next
[00:41:32.920 --> 00:41:33.140]   five
[00:41:33.140 --> 00:41:33.400]   people
[00:41:33.400 --> 00:41:33.580]   you
[00:41:33.580 --> 00:41:33.730]   talk
[00:41:33.730 --> 00:41:33.820]   to
[00:41:33.820 --> 00:41:33.960]   say
[00:41:33.960 --> 00:41:34.400]   something
[00:41:34.400 --> 00:41:34.890]   completely
[00:41:34.890 --> 00:41:35.330]   different
[00:41:35.330 --> 00:41:35.470]   and
[00:41:35.470 --> 00:41:35.610]   you
[00:41:35.610 --> 00:41:35.740]  're
[00:41:35.740 --> 00:41:35.770]   like
[00:41:35.770 --> 00:41:36.170]   oh
[00:41:36.170 --> 00:41:36.170]   who
[00:41:36.170 --> 00:41:36.310]  ops
[00:41:36.310 --> 00:41:36.470]  .
[00:41:36.470 --> 00:41:36.640]   That
[00:41:36.640 --> 00:41:36.770]   isn
[00:41:36.770 --> 00:41:37.040]  't
[00:41:37.040 --> 00:41:37.060]   true
[00:41:37.060 --> 00:41:37.150]   at
[00:41:37.150 --> 00:41:37.290]   all
[00:41:37.290 --> 00:41:37.430]  .
[00:41:37.430 --> 00:41:37.810]   Because
[00:41:37.810 --> 00:41:37.820]   I
[00:41:37.820 --> 00:41:38.020]   know
[00:41:38.020 --> 00:41:38.060]   a
[00:41:38.060 --> 00:41:38.350]   couple
[00:41:38.350 --> 00:41:38.590]   times
[00:41:38.590 --> 00:41:38.680]   we
[00:41:38.680 --> 00:41:38.820]  've
[00:41:38.820 --> 00:41:39.010]   like
[00:41:39.010 --> 00:41:39.120]   we
[00:41:39.120 --> 00:41:39.240]  've
[00:41:39.240 --> 00:41:39.370]   had
[00:41:39.370 --> 00:41:39.690]   some
[00:41:39.690 --> 00:41:40.010]   feedback
[00:41:40.010 --> 00:41:40.170]   and
[00:41:40.170 --> 00:41:40.240]   you
[00:41:40.240 --> 00:41:40.380]  're
[00:41:40.380 --> 00:41:40.570]   like
[00:41:40.570 --> 00:41:40.700]   oh
[00:41:40.700 --> 00:41:40.800]   man
[00:41:40.800 --> 00:41:41.140]   someone
[00:41:41.140 --> 00:41:41.330]   said
[00:41:41.330 --> 00:41:41.520]   this
[00:41:41.520 --> 00:41:41.660]   and
[00:41:41.660 --> 00:41:41.850]   like
[00:41:41.850 --> 00:41:41.990]   one
[00:41:41.990 --> 00:41:42.280]   person
[00:41:42.280 --> 00:41:42.470]   came
[00:41:42.470 --> 00:41:42.560]   in
[00:41:42.560 --> 00:41:42.700]   and
[00:41:42.700 --> 00:41:42.890]   made
[00:41:42.890 --> 00:41:42.940]   a
[00:41:42.940 --> 00:41:43.280]   comment
[00:41:43.280 --> 00:41:43.420]   and
[00:41:43.420 --> 00:41:43.610]   does
[00:41:43.610 --> 00:41:43.800]   that
[00:41:43.800 --> 00:41:44.000]   mean
[00:41:44.000 --> 00:41:44.180]   that
[00:41:44.180 --> 00:41:44.270]   we
[00:41:44.270 --> 00:41:44.410]  're
[00:41:44.410 --> 00:41:44.660]   doing
[00:41:44.660 --> 00:41:45.090]   something
[00:41:45.090 --> 00:41:45.330]   wrong
[00:41:45.330 --> 00:41:45.470]  ?
[00:41:45.470 --> 00:41:45.530]   I
[00:41:45.530 --> 00:41:45.740]   mean
[00:41:45.740 --> 00:41:45.800]   it
[00:41:45.800 --> 00:41:46.040]   could
[00:41:46.040 --> 00:41:46.130]   be
[00:41:46.130 --> 00:41:46.320]   just
[00:41:46.320 --> 00:41:46.510]   kind
[00:41:46.510 --> 00:41:46.600]   of
[00:41:46.600 --> 00:41:46.670]   a
[00:41:46.670 --> 00:41:46.960]   random
[00:41:46.960 --> 00:41:47.090]   out
[00:41:47.090 --> 00:41:47.270]  lier
[00:41:47.270 --> 00:41:48.110]  .
[00:41:48.110 --> 00:41:48.160]   You
[00:41:48.160 --> 00:41:48.460]   know
[00:41:48.460 --> 00:41:48.590]   you
[00:41:48.590 --> 00:41:48.930]   need
[00:41:48.930 --> 00:41:48.980]   need
[00:41:48.980 --> 00:41:49.100]   more
[00:41:49.100 --> 00:41:49.140]   d
[00:41:49.140 --> 00:41:49.310]   more
[00:41:49.310 --> 00:41:49.480]   data
[00:41:49.480 --> 00:41:49.610]  .
[00:41:49.610 --> 00:41:49.740]   You
[00:41:49.740 --> 00:41:49.910]   need
[00:41:49.910 --> 00:41:49.990]   to
[00:41:49.990 --> 00:41:50.160]   talk
[00:41:50.160 --> 00:41:50.240]   to
[00:41:50.240 --> 00:41:50.410]   more
[00:41:50.410 --> 00:41:50.670]   people
[00:41:50.670 --> 00:41:51.280]  . [SPEAKER_TURN]
[00:41:51.280 --> 00:41:51.370]   Okay
[00:41:51.370 --> 00:41:51.880]   just
[00:41:51.880 --> 00:41:51.950]   to
[00:41:51.950 --> 00:41:52.000]   be
[00:41:52.000 --> 00:41:52.300]   clear
[00:41:52.300 --> 00:41:52.590]   that
[00:41:52.590 --> 00:41:52.700]   we
[00:41:52.700 --> 00:41:52.840]  've
[00:41:52.840 --> 00:41:53.020]   had
[00:41:53.020 --> 00:41:53.200]   the
[00:41:53.200 --> 00:41:53.990]   conversations
[00:41:53.990 --> 00:41:54.350]   coming
[00:41:54.350 --> 00:41:54.470]   th
[00:41:54.470 --> 00:41:54.590]   th
[00:41:54.590 --> 00:41:54.770]   the
[00:41:54.770 --> 00:41:55.250]   opposite
[00:41:55.250 --> 00:41:55.430]   way
[00:41:55.430 --> 00:41:55.550]   as
[00:41:55.550 --> 00:41:55.790]   well
[00:41:55.790 --> 00:41:56.150]  .
[00:41:56.150 --> 00:41:56.380]   But
[00:41:56.380 --> 00:41:56.510]   anyway
[00:41:56.510 --> 00:41:56.570]   I
[00:41:56.570 --> 00:41:56.750]   don
[00:41:56.750 --> 00:41:56.870]  't
[00:41:56.870 --> 00:41:57.170]   wanna
[00:41:57.170 --> 00:41:57.360]   get
[00:41:57.360 --> 00:41:57.590]   into
[00:41:57.590 --> 00:41:57.710]   an
[00:41:57.710 --> 00:41:58.190]   argument
[00:41:58.190 --> 00:41:58.490]   about
[00:41:58.490 --> 00:41:58.620]   it
[00:41:58.620 --> 00:42:00.380]  . [SPEAKER_TURN]
[00:42:00.400 --> 00:42:00.400]  
[00:42:00.400 --> 00:42:00.530]   Well
[00:42:00.530 --> 00:42:00.620]   let
[00:42:00.620 --> 00:42:00.700]  's
[00:42:00.700 --> 00:42:00.790]   let
[00:42:00.790 --> 00:42:00.830]  's
[00:42:00.830 --> 00:42:00.960]   move
[00:42:00.960 --> 00:42:01.020]   on
[00:42:01.020 --> 00:42:01.110]  .
[00:42:01.110 --> 00:42:01.240]   What
[00:42:01.240 --> 00:42:01.370]   else
[00:42:01.370 --> 00:42:01.460]   let
[00:42:01.460 --> 00:42:01.520]  's
[00:42:01.520 --> 00:42:01.610]   let
[00:42:01.610 --> 00:42:01.760]  's
[00:42:01.760 --> 00:42:01.800]   get
[00:42:01.800 --> 00:42:01.820]   to
[00:42:01.820 --> 00:42:01.910]   the
[00:42:01.910 --> 00:42:02.070]   other
[00:42:02.070 --> 00:42:02.270]   side
[00:42:02.270 --> 00:42:02.680]  . [SPEAKER_TURN]
[00:42:02.680 --> 00:42:02.760]   You
[00:42:02.760 --> 00:42:02.810]   go
[00:42:02.810 --> 00:42:02.860]  ,
[00:42:02.860 --> 00:42:02.970]   come
[00:42:02.970 --> 00:42:03.060]   on
[00:42:03.060 --> 00:42:03.100]   you
[00:42:03.100 --> 00:42:03.150]  ,
[00:42:03.150 --> 00:42:03.360]   bring
[00:42:03.360 --> 00:42:03.540]   something
[00:42:03.540 --> 00:42:03.590]   up
[00:42:03.590 --> 00:42:03.980]  . [SPEAKER_TURN]
[00:42:03.980 --> 00:42:04.610]   Um
[00:42:04.610 --> 00:42:04.670]   okay
[00:42:04.670 --> 00:42:04.920]  .
[00:42:04.920 --> 00:42:05.430]   Let
[00:42:05.430 --> 00:42:05.450]  's
[00:42:05.450 --> 00:42:05.740]   see
[00:42:05.740 --> 00:42:05.860]   I
[00:42:05.860 --> 00:42:06.250]   got
[00:42:06.250 --> 00:42:06.340]   a
[00:42:06.340 --> 00:42:06.880]   couple
[00:42:06.880 --> 00:42:07.510]   things
[00:42:07.510 --> 00:42:07.820]  .
[00:42:07.820 --> 00:42:08.080]   Um
[00:42:09.700 --> 00:42:09.760]  
[00:42:09.760 --> 00:42:09.850]   So
[00:42:09.850 --> 00:42:09.920]   I
[00:42:09.920 --> 00:42:09.990]   I
[00:42:09.990 --> 00:42:10.220]   got
[00:42:10.220 --> 00:42:10.380]   an
[00:42:10.380 --> 00:42:10.880]   i
[00:42:10.880 --> 00:42:11.300]   interesting
[00:42:11.300 --> 00:42:11.730]   email
[00:42:11.730 --> 00:42:12.080]   today
[00:42:12.080 --> 00:42:12.420]   from
[00:42:12.420 --> 00:42:12.550]   um
[00:42:12.550 --> 00:42:13.080]   Peter
[00:42:13.080 --> 00:42:13.790]   Christensen
[00:42:13.790 --> 00:42:14.020]   who
[00:42:14.020 --> 00:42:14.170]  's
[00:42:14.170 --> 00:42:14.320]  ,
[00:42:14.320 --> 00:42:14.630]   been
[00:42:14.630 --> 00:42:14.700]   a
[00:42:14.700 --> 00:42:15.050]   long
[00:42:15.050 --> 00:42:15.320]   time
[00:42:15.320 --> 00:42:15.950]   listener
[00:42:15.950 --> 00:42:16.180]   and
[00:42:16.180 --> 00:42:16.340]   he
[00:42:16.340 --> 00:42:17.350]   basically
[00:42:17.350 --> 00:42:17.400]   said
[00:42:17.400 --> 00:42:17.420]   I
[00:42:17.420 --> 00:42:17.730]   mean
[00:42:17.730 --> 00:42:17.880]   he
[00:42:17.880 --> 00:42:18.040]   he
[00:42:18.040 --> 00:42:18.740]   basically
[00:42:18.740 --> 00:42:19.050]   said
[00:42:19.050 --> 00:42:19.360]   that
[00:42:19.360 --> 00:42:19.510]   my
[00:42:19.510 --> 00:42:19.660]   my
[00:42:19.660 --> 00:42:20.050]   rates
[00:42:20.050 --> 00:42:20.200]   my
[00:42:20.200 --> 00:42:20.990]   consulting
[00:42:20.990 --> 00:42:21.380]   rates
[00:42:21.380 --> 00:42:21.610]   are
[00:42:21.610 --> 00:42:22.550]   ridiculously
[00:42:22.550 --> 00:42:22.780]   low
[00:42:22.780 --> 00:42:22.930]   at
[00:42:22.930 --> 00:42:23.000]   a
[00:42:23.000 --> 00:42:23.550]   hundred
[00:42:23.550 --> 00:42:24.100]   dollars
[00:42:24.100 --> 00:42:24.250]   an
[00:42:24.250 --> 00:42:24.560]   hour
[00:42:24.560 --> 00:42:24.790]  .
[00:42:24.790 --> 00:42:25.170]   That
[00:42:25.170 --> 00:42:25.330]   was
[00:42:25.330 --> 00:42:25.770]   just
[00:42:25.770 --> 00:42:25.950]   Paul
[00:42:25.950 --> 00:42:26.020]   I
[00:42:26.020 --> 00:42:26.410]   think
[00:42:26.410 --> 00:42:26.640]   was
[00:42:26.640 --> 00:42:26.870]   the
[00:42:26.870 --> 00:42:26.960]   way
[00:42:26.960 --> 00:42:27.400]   he
[00:42:27.400 --> 00:42:27.450]  'd
[00:42:27.450 --> 00:42:27.630]   put
[00:42:27.630 --> 00:42:28.160]   it
[00:42:28.160 --> 00:42:28.490]  .
[00:42:28.490 --> 00:42:28.810]   That
[00:42:28.810 --> 00:42:29.090]   someone
[00:42:29.090 --> 00:42:29.430]   with
[00:42:29.430 --> 00:42:29.770]   my
[00:42:29.770 --> 00:42:30.010]   experience
[00:42:30.010 --> 00:42:30.120]   in
[00:42:30.120 --> 00:42:30.410]   skill
[00:42:30.410 --> 00:42:30.700]   level
[00:42:30.700 --> 00:42:30.810]   is
[00:42:30.810 --> 00:42:30.920]   is
