
[00:00:00.000 --> 00:00:00.100]  
[00:00:00.100 --> 00:00:00.350]   The
[00:43:44.780 --> 00:43:44.850]   I
[00:43:44.850 --> 00:43:45.150]   have
[00:43:45.150 --> 00:43:45.410]   the
[00:43:45.410 --> 00:43:45.820]   energy
[00:43:45.820 --> 00:43:45.960]   to
[00:43:45.960 --> 00:43:46.270]   deal
[00:43:46.270 --> 00:43:46.570]   with
[00:43:46.570 --> 00:43:46.890]   this
[00:43:46.890 --> 00:43:47.320]   person
[00:43:47.320 --> 00:43:47.690]   today
[00:43:47.690 --> 00:43:47.910]   you
[00:43:47.910 --> 00:43:48.350]  ,
[00:43:48.350 --> 00:43:48.360]   know
[00:43:48.360 --> 00:43:48.510]   um
[00:43:48.510 --> 00:43:48.690]   I
[00:43:48.690 --> 00:43:48.730]   do
[00:43:48.730 --> 00:43:49.900]  . [SPEAKER_TURN]
[00:43:50.520 --> 00:43:50.520]  
[00:43:50.520 --> 00:43:50.920]   Well
[00:43:50.920 --> 00:43:50.920]   he
[00:43:50.920 --> 00:43:51.180]   sent
[00:43:51.180 --> 00:43:51.530]   an
[00:43:51.530 --> 00:43:51.680]   email
[00:43:51.680 --> 00:43:52.000]   about
[00:43:52.000 --> 00:43:52.200]   you
[00:43:52.200 --> 00:43:52.470]   know
[00:43:52.470 --> 00:43:52.600]   it
[00:43:52.600 --> 00:43:52.800]   was
[00:43:52.800 --> 00:43:52.960]   basically
[00:43:52.960 --> 00:43:53.880]   a
[00:43:53.880 --> 00:43:53.940]   screen
[00:43:53.940 --> 00:43:54.220]   about
[00:43:54.220 --> 00:43:54.420]   the
[00:43:54.420 --> 00:43:54.830]   Google
[00:43:54.830 --> 00:43:55.170]   Glass
[00:43:55.170 --> 00:43:55.510]   about
[00:43:55.510 --> 00:43:55.710]   how
[00:43:55.710 --> 00:43:55.910]   the
[00:43:55.910 --> 00:43:56.380]   problem
[00:43:56.380 --> 00:43:56.650]   with
[00:43:56.650 --> 00:43:56.870]   it
[00:43:56.870 --> 00:43:56.910]   is
[00:43:56.910 --> 00:43:57.040]   it
[00:43:57.040 --> 00:43:57.220]   is
[00:43:57.220 --> 00:43:57.440]   that
[00:43:57.440 --> 00:43:58.030]   whenever
[00:43:58.030 --> 00:43:58.180]   you
[00:43:58.180 --> 00:43:58.380]  're
[00:43:58.380 --> 00:43:58.890]   sitting
[00:43:58.890 --> 00:43:59.260]   around
[00:43:59.260 --> 00:43:59.860]   talking
[00:43:59.860 --> 00:43:59.870]   to
[00:43:59.870 --> 00:44:00.400]   someone
[00:44:00.400 --> 00:44:00.530]   you
[00:44:00.530 --> 00:44:00.740]  're
[00:44:00.740 --> 00:44:00.980]   you
[00:44:00.980 --> 00:44:01.200]   have
[00:44:01.200 --> 00:44:01.330]   to
[00:44:01.330 --> 00:44:01.530]   ask
[00:44:01.530 --> 00:44:01.730]   are
[00:44:01.730 --> 00:44:01.930]   you
[00:44:01.930 --> 00:44:02.540]   recording
[00:44:02.540 --> 00:44:02.670]   me
[00:44:02.670 --> 00:44:03.380]  ?
[00:44:03.380 --> 00:44:03.380]   Like
[00:44:03.380 --> 00:44:03.500]   is
[00:44:03.500 --> 00:44:03.900]   this
[00:44:03.900 --> 00:44:03.980]   like
[00:44:03.980 --> 00:44:04.160]   you
[00:44:04.160 --> 00:44:04.340]   don
[00:44:04.340 --> 00:44:04.460]  't
[00:44:04.460 --> 00:44:04.760]   wanna
[00:44:04.760 --> 00:44:04.940]   say
[00:44:04.940 --> 00:44:05.420]   anything
[00:44:05.420 --> 00:44:05.840]   because
[00:44:05.840 --> 00:44:06.020]   you
[00:44:06.020 --> 00:44:06.200]   don
[00:44:06.200 --> 00:44:06.320]  't
[00:44:06.320 --> 00:44:06.590]   know
[00:44:06.590 --> 00:44:06.710]   if
[00:44:06.710 --> 00:44:06.860]   you
[00:44:06.860 --> 00:44:07.040]  're
[00:44:07.040 --> 00:44:07.160]   if
[00:44:07.160 --> 00:44:07.340]   you
[00:44:07.340 --> 00:44:07.620]  're
[00:44:07.620 --> 00:44:07.820]   being
[00:44:07.820 --> 00:44:08.370]   recorded
[00:44:08.370 --> 00:44:08.420]   or
[00:44:08.420 --> 00:44:08.570]   not
[00:44:08.570 --> 00:44:08.610]   and
[00:44:08.610 --> 00:44:08.950]   and
[00:44:08.950 --> 00:44:09.210]   oh
[00:44:09.210 --> 00:44:09.260]   and
[00:44:09.260 --> 00:44:09.380]   it
[00:44:09.380 --> 00:44:09.500]   it
[00:44:09.500 --> 00:44:09.620]   it
[00:44:09.620 --> 00:44:09.800]   you
[00:44:09.800 --> 00:44:10.050]   know
[00:44:10.050 --> 00:44:10.100]   '
[00:44:10.100 --> 00:44:10.400]  cause
[00:44:10.400 --> 00:44:10.760]   you
[00:44:10.760 --> 00:44:10.940]   you
[00:44:10.940 --> 00:44:11.060]   could
[00:44:11.060 --> 00:44:11.250]   and
[00:44:11.250 --> 00:44:11.350]   he
[00:44:11.350 --> 00:44:11.630]   and
[00:44:11.630 --> 00:44:11.660]   he
[00:44:11.660 --> 00:44:11.780]  's
[00:44:11.780 --> 00:44:12.080]   gonna
[00:44:12.080 --> 00:44:12.180]   be
[00:44:12.180 --> 00:44:12.580]   right
[00:44:12.580 --> 00:44:12.620]   in
[00:44:12.620 --> 00:44:12.800]   the
[00:44:12.800 --> 00:44:13.160]   middle
[00:44:13.160 --> 00:44:13.280]   of
[00:44:13.280 --> 00:44:13.400]   it
[00:44:13.400 --> 00:44:13.520]   so
[00:44:13.520 --> 00:44:13.640]   he
[00:44:13.640 --> 00:44:13.760]  's
[00:44:13.760 --> 00:44:14.240]   actually
[00:44:14.240 --> 00:44:14.660]   gonna
[00:44:14.660 --> 00:44:14.840]   be
[00:44:14.840 --> 00:44:15.020]   living
[00:44:15.020 --> 00:44:15.260]   that
[00:44:15.260 --> 00:44:15.680]   dilemma
[00:44:15.680 --> 00:44:15.980]   right
[00:44:15.980 --> 00:44:16.190]   now
[00:44:16.190 --> 00:44:16.620]   because
[00:44:16.620 --> 00:44:17.060]   everyone
[00:44:17.060 --> 00:44:17.440]   around
[00:44:17.440 --> 00:44:17.600]   him
[00:44:17.600 --> 00:44:17.720]  's
[00:44:17.720 --> 00:44:18.020]   gonna
[00:44:18.020 --> 00:44:18.140]   be
[00:44:18.140 --> 00:44:18.560]   wearing
[00:44:18.560 --> 00:44:19.040]   Google
[00:44:19.040 --> 00:44:19.150]   Glass
[00:44:19.150 --> 00:44:19.420]  . [SPEAKER_TURN]
[00:44:20.300 --> 00:44:20.300]  
[00:44:20.300 --> 00:44:20.640]   that
[00:44:20.640 --> 00:44:20.790]   he
[00:44:20.790 --> 00:44:21.060]   was
[00:44:21.060 --> 00:44:21.200]   at
[00:44:21.200 --> 00:44:21.280]   a
[00:44:21.280 --> 00:44:21.440]   he
[00:44:21.440 --> 00:44:21.600]   he
[00:44:21.600 --> 00:44:22.090]   hosts
[00:44:22.090 --> 00:44:22.420]   this
[00:44:22.420 --> 00:44:22.770]   like
[00:44:22.770 --> 00:44:22.830]   um
[00:44:22.830 --> 00:44:22.990]   uh
[00:44:22.990 --> 00:44:23.340]   you
[00:44:23.340 --> 00:44:23.570]   know
[00:44:23.570 --> 00:44:23.650]   a
[00:44:23.650 --> 00:44:23.730]   b
[00:44:23.730 --> 00:44:23.890]   uh
[00:44:23.890 --> 00:44:23.970]   a
[00:44:23.970 --> 00:44:24.680]   poker
[00:44:24.680 --> 00:44:24.840]   night
[00:44:24.840 --> 00:44:25.130]   once
[00:44:25.130 --> 00:44:25.200]   a
[00:44:25.200 --> 00:44:25.580]   month
[00:44:25.580 --> 00:44:25.980]   or
[00:44:25.980 --> 00:44:26.520]   something
[00:44:26.520 --> 00:44:26.770]   and
[00:44:26.770 --> 00:44:26.930]   so
[00:44:26.930 --> 00:44:27.250]   some
[00:44:27.250 --> 00:44:27.560]   of
[00:44:27.560 --> 00:44:27.830]   these
[00:44:27.830 --> 00:44:27.990]   um
[00:44:27.990 --> 00:44:28.170]   uh
[00:44:28.170 --> 00:44:28.230]   I
[00:44:28.230 --> 00:44:28.630]   guess
[00:44:28.630 --> 00:44:29.130]   this
[00:44:29.130 --> 00:44:29.190]   is
[00:44:29.190 --> 00:44:29.880]   probably
[00:44:29.880 --> 00:44:29.880]   L
[00:44:29.880 --> 00:44:29.960]  _
[00:44:29.960 --> 00:44:30.120]  A
[00:44:30.120 --> 00:44:30.160]  _
[00:44:30.160 --> 00:44:30.510]   based
[00:44:30.510 --> 00:44:31.100]   uh
[00:44:31.100 --> 00:44:31.970]   entrepreneurs
[00:44:31.970 --> 00:44:32.690]   participate
[00:44:32.690 --> 00:44:32.840]   in
[00:44:32.840 --> 00:44:33.000]   it
[00:44:33.000 --> 00:44:33.420]   and
[00:44:33.420 --> 00:44:33.490]   he
[00:44:33.490 --> 00:44:33.750]   said
[00:44:33.750 --> 00:44:34.080]   like
[00:44:34.080 --> 00:44:34.600]   three
[00:44:34.600 --> 00:44:34.650]   of
[00:44:34.650 --> 00:44:34.730]   '
[00:44:34.730 --> 00:44:34.890]  em
[00:44:34.890 --> 00:44:35.280]   three
[00:44:35.280 --> 00:44:35.710]   of
[00:44:35.710 --> 00:44:35.750]   the
[00:44:35.750 --> 00:44:36.110]   seven
[00:44:36.110 --> 00:44:36.350]   or
[00:44:36.350 --> 00:44:37.260]   something
[00:44:37.260 --> 00:44:37.360]   show
[00:44:37.360 --> 00:44:37.520]   up
[00:44:37.520 --> 00:44:38.100]   wearing
[00:44:38.100 --> 00:44:38.600]   Google
[00:44:38.600 --> 00:44:39.010]   Glass
[00:44:39.010 --> 00:44:39.480]  .
[00:44:39.480 --> 00:44:39.930]   So
[00:44:39.930 --> 00:44:40.160]   the
[00:44:40.160 --> 00:44:40.200]   first
[00:44:40.200 --> 00:44:40.390]   thing
[00:44:40.390 --> 00:44:40.500]   he
[00:44:40.500 --> 00:44:40.680]   did
[00:44:40.680 --> 00:44:40.760]   was
[00:44:40.760 --> 00:44:40.840]   he
[00:44:40.840 --> 00:44:41.320]   collected
[00:44:41.320 --> 00:44:41.380]   '
[00:44:41.380 --> 00:44:41.410]  em
[00:44:41.410 --> 00:44:41.590]   all
[00:44:41.590 --> 00:44:41.690]   and
[00:44:41.690 --> 00:44:41.880]   went
[00:44:41.880 --> 00:44:42.020]   and
[00:44:42.020 --> 00:44:42.150]   put
[00:44:42.150 --> 00:44:42.250]   '
[00:44:42.250 --> 00:44:42.290]  em
[00:44:42.290 --> 00:44:42.380]   in
[00:44:42.380 --> 00:44:42.420]   a
[00:44:42.420 --> 00:44:42.700]   drawer
[00:44:42.700 --> 00:44:42.790]   in
[00:44:42.790 --> 00:44:42.920]   the
[00:44:42.920 --> 00:44:43.280]   kitchen
[00:44:43.280 --> 00:44:43.440]   and
[00:44:43.440 --> 00:44:43.490]   he
[00:44:43.490 --> 00:44:43.580]  's
[00:44:43.580 --> 00:44:43.770]   like
[00:44:43.770 --> 00:44:43.860]   no
[00:44:43.860 --> 00:44:43.950]   we
[00:44:43.950 --> 00:44:44.090]  're
[00:44:44.090 --> 00:44:44.230]   not
[00:44:44.230 --> 00:44:44.370]   you
[00:44:44.370 --> 00:44:44.600]   know
[00:44:44.600 --> 00:44:44.830]   '
[00:44:44.830 --> 00:44:44.870]  cause
[00:44:44.870 --> 00:44:44.970]   the
[00:44:44.970 --> 00:44:45.160]   last
[00:44:45.160 --> 00:44:45.390]   thing
[00:44:45.390 --> 00:44:45.670]   anyone
[00:44:45.670 --> 00:44:45.700]   c
[00:44:45.700 --> 00:44:46.030]   wants
[00:44:46.030 --> 00:44:46.070]   to
[00:44:46.070 --> 00:44:46.120]   do
[00:44:46.120 --> 00:44:46.250]   is
[00:44:46.250 --> 00:44:46.400]   have
[00:44:46.400 --> 00:44:46.440]   a
[00:44:46.440 --> 00:44:47.010]   conversation
[00:44:47.010 --> 00:44:47.200]   with
[00:44:47.200 --> 00:44:47.480]   people
[00:44:47.480 --> 00:44:47.810]   wearing
[00:44:47.810 --> 00:44:48.030]   those
[00:44:48.030 --> 00:44:48.510]   around
[00:44:48.510 --> 00:44:48.540]   them
[00:44:48.540 --> 00:44:48.960]  . [SPEAKER_TURN]
[00:44:48.960 --> 00:44:48.960]  
[00:44:48.960 --> 00:44:49.160]   not
[00:44:49.160 --> 00:44:49.560]   just
[00:44:49.560 --> 00:44:49.700]   that
[00:44:49.700 --> 00:44:49.760]   I
[00:44:49.760 --> 00:44:50.020]   mean
[00:44:50.020 --> 00:44:50.290]   like
[00:44:50.290 --> 00:44:50.350]   y
[00:44:50.350 --> 00:44:50.730]   you
[00:44:50.730 --> 00:44:50.760]   don
[00:44:50.760 --> 00:44:50.890]  't
[00:44:50.890 --> 00:44:51.400]   know
[00:44:51.400 --> 00:44:51.430]   what
[00:44:51.430 --> 00:44:52.050]   advantage
[00:44:52.050 --> 00:44:52.530]   wearing
[00:44:52.530 --> 00:44:52.950]   Google
[00:44:52.950 --> 00:44:53.300]   Glass
[00:44:53.300 --> 00:44:53.620]   could
[00:44:53.620 --> 00:44:54.000]   bring
[00:44:54.000 --> 00:44:54.150]   to
[00:44:54.150 --> 00:44:54.200]   a
[00:44:54.200 --> 00:44:54.490]   poker
[00:44:54.490 --> 00:44:54.770]   game
[00:44:54.770 --> 00:44:55.170]  .
[00:44:55.170 --> 00:44:55.230]   I
[00:44:55.230 --> 00:44:55.460]   mean
[00:44:55.460 --> 00:44:56.090]   seriously
[00:44:56.090 --> 00:44:56.370]   it
[00:44:56.370 --> 00:44:56.420]  's
[00:44:56.420 --> 00:44:56.510]   it
[00:44:56.510 --> 00:44:56.650]  's
[00:44:56.650 --> 00:44:56.720]   a
[00:44:56.720 --> 00:44:57.290]   computer
[00:44:57.290 --> 00:44:57.570]   that
[00:44:57.570 --> 00:44:57.780]   you
[00:44:57.780 --> 00:44:58.020]  're
[00:44:58.020 --> 00:44:58.520]   wearing
[00:44:58.520 --> 00:44:59.360]  . [SPEAKER_TURN]
[00:45:04.380 --> 00:45:04.380]  
[00:45:04.380 --> 00:45:04.580]   you
[00:45:04.580 --> 00:45:04.860]   know
[00:45:04.860 --> 00:45:04.900]   c
[00:45:04.900 --> 00:45:05.160]   card
[00:45:05.160 --> 00:45:05.690]   counting
[00:45:05.690 --> 00:45:06.090]   kinda
[00:45:06.090 --> 00:45:06.350]   stuff
[00:45:06.350 --> 00:45:06.480]   if
[00:45:06.480 --> 00:45:06.610]   we
[00:45:06.610 --> 00:45:06.890]   were
[00:45:06.890 --> 00:45:07.200]   doing
[00:45:07.200 --> 00:45:07.860]   especially
[00:45:07.860 --> 00:45:08.120]   if
[00:45:08.120 --> 00:45:08.300]   we
[00:45:08.300 --> 00:45:08.380]   were
[00:45:08.380 --> 00:45:08.920]   doing
[00:45:08.920 --> 00:45:09.040]   Black
[00:45:09.040 --> 00:45:09.300]  jack
[00:45:09.300 --> 00:45:09.500]   but
[00:45:09.500 --> 00:45:09.630]  ,
[00:45:09.630 --> 00:45:09.760]   um
[00:45:09.760 --> 00:45:09.960]   but
[00:45:09.960 --> 00:45:10.090]   he
[00:45:10.090 --> 00:45:10.290]   you
[00:45:10.290 --> 00:45:10.550]   know
[00:45:10.550 --> 00:45:10.680]   it
[00:45:10.680 --> 00:45:10.810]  's
[00:45:10.810 --> 00:45:11.070]   just
[00:45:11.070 --> 00:45:11.460]   like
[00:45:11.460 --> 00:45:11.550]   if
[00:45:11.550 --> 00:45:11.660]   you
[00:45:11.660 --> 00:45:11.860]  're
[00:45:11.860 --> 00:45:11.990]   if
[00:45:11.990 --> 00:45:12.190]   you
[00:45:12.190 --> 00:45:12.390]  're
[00:45:12.390 --> 00:45:12.520]   if
[00:45:12.520 --> 00:45:13.120]   everybody
[00:45:13.120 --> 00:45:13.280]  's
[00:45:13.280 --> 00:45:13.580]   kinda
[00:45:13.580 --> 00:45:13.810]   you
[00:45:13.810 --> 00:45:14.040]   know
[00:45:14.040 --> 00:45:14.490]   sitting
[00:45:14.490 --> 00:45:15.200]   around
[00:45:15.200 --> 00:45:15.360]   playing
[00:45:15.360 --> 00:45:15.690]   poker
[00:45:15.690 --> 00:45:15.820]  ,
[00:45:15.820 --> 00:45:16.400]   drinking
[00:45:16.400 --> 00:45:16.480]  ,
[00:45:16.480 --> 00:45:16.940]   talking
[00:45:16.940 --> 00:45:17.270]   about
[00:45:17.270 --> 00:45:17.330]   a
[00:45:17.330 --> 00:45:17.670]   bunch
[00:45:17.670 --> 00:45:17.790]   of
[00:45:17.790 --> 00:45:18.140]   off
[00:45:18.140 --> 00:45:18.190]   the
[00:45:18.190 --> 00:45:18.650]   record
[00:45:18.650 --> 00:45:19.110]   personal
[00:45:19.110 --> 00:45:19.190]   stuff
[00:45:19.190 --> 00:45:19.780]  ,
[00:45:19.780 --> 00:45:19.810]   you
[00:45:19.810 --> 00:45:20.380]   certainly
[00:45:20.380 --> 00:45:20.580]   don
[00:45:20.580 --> 00:45:20.710]  't
[00:45:20.710 --> 00:45:21.220]   want
[00:45:21.220 --> 00:45:21.370]   anyone
[00:45:21.370 --> 00:45:21.500]   to
[00:45:21.500 --> 00:45:21.660]   be
[00:45:21.660 --> 00:45:21.890]   even
[00:45:21.890 --> 00:45:22.890]   accidentally
[00:45:22.890 --> 00:45:23.290]   recording
[00:45:23.290 --> 00:45:23.550]   that
[00:45:23.550 --> 00:45:23.880]   stuff
[00:45:23.880 --> 00:45:24.010]  ,
[00:45:24.010 --> 00:45:24.360]   right
[00:45:24.360 --> 00:45:24.530]  ?
[00:45:24.530 --> 00:45:24.660]   It
[00:45:24.660 --> 00:45:25.230]   really
[00:45:25.230 --> 00:45:25.400]   makes
[00:45:25.400 --> 00:45:26.000]   everybody
[00:45:26.000 --> 00:45:26.130]   on
[00:45:26.130 --> 00:45:26.480]   guard
[00:45:26.480 --> 00:45:26.660]   and
[00:45:26.660 --> 00:45:26.990]   makes
[00:45:26.990 --> 00:45:27.390]   things
[00:45:27.390 --> 00:45:27.750]   less
[00:45:27.750 --> 00:45:27.780]   uh
[00:45:27.780 --> 00:45:27.980]   but
[00:45:27.980 --> 00:45:28.220]   less
[00:45:28.220 --> 00:45:28.700]   relaxed
[00:45:28.700 --> 00:45:28.830]  ,
[00:45:28.830 --> 00:45:29.160]   right
[00:45:29.160 --> 00:45:30.280]  ? [SPEAKER_TURN]
[00:45:31.180 --> 00:45:31.270]  
[00:45:31.270 --> 00:45:31.350]   So
[00:45:31.350 --> 00:45:31.360]   he
[00:45:31.360 --> 00:45:31.450]  's
[00:45:31.450 --> 00:45:31.790]   talking
[00:45:31.790 --> 00:45:31.830]   a
[00:45:31.830 --> 00:45:31.970]   lot
[00:45:31.970 --> 00:45:32.210]   about
[00:45:32.210 --> 00:45:32.420]   that
[00:45:32.420 --> 00:45:32.440]   I
[00:45:32.440 --> 00:45:32.580]  .
[00:45:32.580 --> 00:45:32.820]   think
[00:45:32.820 --> 00:45:33.010]   that
[00:45:33.010 --> 00:45:33.230]  's
[00:45:33.230 --> 00:45:33.390]   really
[00:45:33.390 --> 00:45:33.580]   true
[00:45:33.580 --> 00:45:33.620]   I
[00:45:33.620 --> 00:45:33.760]  .
[00:45:33.760 --> 00:45:33.950]   mean
[00:45:33.950 --> 00:45:34.230]   I
[00:45:34.230 --> 00:45:34.270]   think
[00:45:34.270 --> 00:45:34.300]   I
[00:45:34.300 --> 00:45:34.410]   don
[00:45:34.410 --> 00:45:34.510]  't
[00:45:34.510 --> 00:45:34.770]   think
[00:45:34.770 --> 00:45:35.030]   people
[00:45:35.030 --> 00:45:35.370]   realise
[00:45:35.370 --> 00:45:35.510]   how
[00:45:35.510 --> 00:45:36.010]   frustrating
[00:45:36.010 --> 00:45:36.240]   that
[00:45:36.240 --> 00:45:36.470]   is
[00:45:36.470 --> 00:45:36.480]  .
[00:45:36.480 --> 00:45:36.570]   It
[00:45:36.570 --> 00:45:36.690]  's
[00:45:36.690 --> 00:45:36.840]   also
[00:45:36.840 --> 00:45:37.030]   like
[00:45:37.030 --> 00:45:37.360]   you
[00:45:37.360 --> 00:45:37.460]   know
[00:45:37.460 --> 00:45:37.500]   you
[00:45:37.500 --> 00:45:37.640]  're
[00:45:37.640 --> 00:45:37.780]   you
[00:45:37.780 --> 00:45:37.920]  're
[00:45:37.920 --> 00:45:38.060]   you
[00:45:38.060 --> 00:45:38.200]  're
[00:45:38.200 --> 00:45:38.490]   around
[00:45:38.490 --> 00:45:38.920]   people
[00:45:38.920 --> 00:45:38.920]   and
[00:45:38.920 --> 00:45:39.110]   they
[00:45:39.110 --> 00:45:39.300]   keep
[00:45:39.300 --> 00:45:39.640]   looking
[00:45:39.640 --> 00:45:39.830]   down
[00:45:39.830 --> 00:45:39.920]   at
[00:45:39.920 --> 00:45:40.160]   their
[00:45:40.160 --> 00:45:40.460]   smart
[00:45:40.460 --> 00:45:40.640]   phone
[00:45:40.640 --> 00:45:40.810]   and
[00:45:40.810 --> 00:45:40.920]   you
[00:45:40.920 --> 00:45:41.060]  're
[00:45:41.060 --> 00:45:41.250]   like
[00:45:41.250 --> 00:45:41.390]   are
[00:45:41.390 --> 00:45:41.550]   you
[00:45:41.550 --> 00:45:41.750]   done
[00:45:41.750 --> 00:45:41.810]   or
[00:45:41.810 --> 00:45:42.000]   what
[00:45:42.000 --> 00:45:42.140]   are
[00:45:42.140 --> 00:45:42.230]   we
[00:45:42.230 --> 00:45:42.590]   talking
[00:45:42.590 --> 00:45:42.760]   here
[00:45:42.760 --> 00:45:42.900]   You
[00:45:42.900 --> 00:45:43.200]  ?
[00:45:43.200 --> 00:45:43.230]   know
[00:45:43.230 --> 00:45:43.370]   you
[00:45:43.370 --> 00:45:43.550]  're
[00:45:43.550 --> 00:45:43.850]   sitting
[00:45:43.850 --> 00:45:43.940]   at
[00:45:43.940 --> 00:45:44.200]   lunch
[00:45:44.200 --> 00:45:44.370]   with
[00:45:44.370 --> 00:45:44.560]   them
[00:45:44.560 --> 00:45:44.700]   and
[00:45:44.700 --> 00:45:44.840]   and
[00:45:44.840 --> 00:45:45.030]   they
[00:45:45.030 --> 00:45:45.170]  're
[00:45:45.170 --> 00:45:45.360]   like
[00:45:45.360 --> 00:45:45.700]   looking
[00:45:45.700 --> 00:45:45.790]   at
[00:45:45.790 --> 00:45:46.030]   their
[00:45:46.030 --> 00:45:46.320]   phone
[00:45:46.320 --> 00:45:46.410]   and
[00:45:46.410 --> 00:45:46.550]   how
[00:45:46.550 --> 00:45:47.040]   irritating
[00:45:47.040 --> 00:45:47.110]   that
[00:45:47.110 --> 00:45:47.460]   is
[00:45:47.460 --> 00:45:48.500]  . [SPEAKER_TURN]
[00:45:48.500 --> 00:45:48.730]   Yeah
[00:45:48.730 --> 00:45:48.900]   and
[00:45:48.900 --> 00:45:49.010]   it
[00:45:49.010 --> 00:45:49.120]  's
[00:45:49.120 --> 00:45:49.330]   but
[00:45:49.330 --> 00:45:49.520]   but
[00:45:49.520 --> 00:45:49.570]   it
[00:45:49.570 --> 00:45:49.840]   I
[00:45:49.840 --> 00:45:49.860]   mean
[00:45:49.860 --> 00:45:49.970]   it
[00:45:49.970 --> 00:45:50.080]  's
[00:45:50.080 --> 00:45:50.140]   a
[00:45:50.140 --> 00:45:50.200]   b
[00:45:50.200 --> 00:45:50.300]   it
[00:45:50.300 --> 00:45:50.640]  's
[00:45:50.640 --> 00:45:50.940]   prevalent
[00:45:50.940 --> 00:45:51.260]   in
[00:45:51.260 --> 00:45:51.490]   society
[00:45:51.490 --> 00:45:51.640]  .
[00:45:51.640 --> 00:45:51.690]   I
[00:45:51.690 --> 00:45:51.930]   mean
[00:45:51.930 --> 00:45:52.040]   it
[00:45:52.040 --> 00:45:52.150]  's
[00:45:52.150 --> 00:45:52.320]   not
[00:45:52.320 --> 00:45:52.640]   just
[00:45:52.640 --> 00:45:52.660]   it
[00:45:52.660 --> 00:45:52.780]  's
[00:45:52.780 --> 00:45:52.940]   not
[00:45:52.940 --> 00:45:53.170]   just
[00:45:53.170 --> 00:45:53.400]   a
[00:45:53.400 --> 00:45:53.500]   few
[00:45:53.500 --> 00:45:53.760]   people
[00:45:53.760 --> 00:45:54.080]   like
[00:45:54.080 --> 00:45:54.270]   most
[00:45:54.270 --> 00:45:54.560]   people
[00:45:54.560 --> 00:45:54.670]   do
[00:45:54.670 --> 00:45:54.990]   that
[00:45:54.990 --> 00:45:55.860]  . [SPEAKER_TURN]
[00:45:57.120 --> 00:45:57.190]  
[00:45:57.190 --> 00:45:57.330]   Yeah
[00:45:57.330 --> 00:45:57.430]  ,
[00:45:57.430 --> 00:45:57.590]   but
[00:45:57.590 --> 00:45:57.640]   I
[00:45:57.640 --> 00:45:57.900]   mean
[00:45:57.900 --> 00:45:57.910]   i
[00:45:57.910 --> 00:45:58.110]   that
[00:45:58.110 --> 00:45:58.210]   it
[00:45:58.210 --> 00:45:58.310]  's
[00:45:58.310 --> 00:45:58.360]   p
[00:45:58.360 --> 00:45:58.730]   people
[00:45:58.730 --> 00:45:58.760]   p
[00:45:58.760 --> 00:45:59.160]   people
[00:45:59.160 --> 00:45:59.210]   are
[00:45:59.210 --> 00:45:59.640]   starting
[00:45:59.640 --> 00:45:59.740]   to
[00:45:59.740 --> 00:46:00.220]   learn
[00:46:00.220 --> 00:46:00.220]   that
[00:46:00.220 --> 00:46:00.420]   it
[00:46:00.420 --> 00:46:00.510]   is
[00:46:00.510 --> 00:46:00.850]   socially
[00:46:00.850 --> 00:46:01.600]   unacceptable
[00:46:01.600 --> 00:46:01.630]   to
[00:46:01.630 --> 00:46:01.700]   be
[00:46:01.700 --> 00:46:02.170]   spending
[00:46:02.170 --> 00:46:02.350]   much
[00:46:02.350 --> 00:46:02.550]   time
[00:46:02.550 --> 00:46:03.030]   looking
[00:46:03.030 --> 00:46:03.040]   at
[00:46:03.040 --> 00:46:03.300]   their
[00:46:03.300 --> 00:46:03.570]   phone
[00:46:03.570 --> 00:46:03.780]   when
[00:46:03.780 --> 00:46:03.990]   they
[00:46:03.990 --> 00:46:04.150]  're
[00:46:04.150 --> 00:46:04.250]   at
[00:46:04.250 --> 00:46:04.300]   a
[00:46:04.300 --> 00:46:04.420]   lunch
[00:46:04.420 --> 00:46:04.720]  .
[00:46:04.720 --> 00:46:04.980]   I
[00:46:04.980 --> 00:46:04.990]   mean
[00:46:04.990 --> 00:46:05.150]   you
[00:46:05.150 --> 00:46:05.360]   just
[00:46:05.360 --> 00:46:05.450]  ,
[00:46:05.450 --> 00:46:05.720]   you
[00:46:05.720 --> 00:46:05.840]   know
[00:46:05.840 --> 00:46:05.930]  ,
[00:46:05.930 --> 00:46:06.030]   if
[00:46:06.030 --> 00:46:06.190]   you
[00:46:06.190 --> 00:46:06.330]  're
[00:46:06.330 --> 00:46:06.430]   if
[00:46:06.430 --> 00:46:06.730]   you
[00:46:06.730 --> 00:46:06.770]  're
[00:46:06.770 --> 00:46:07.200]   actually
[00:46:07.200 --> 00:46:07.500]   gonna
[00:46:07.500 --> 00:46:07.850]   respect
[00:46:07.850 --> 00:46:08.280]   somebody
[00:46:08.280 --> 00:46:08.440]   you
[00:46:08.440 --> 00:46:08.540]  ,
[00:46:08.540 --> 00:46:08.730]  're
[00:46:08.730 --> 00:46:08.750]   d
[00:46:08.750 --> 00:46:08.950]   you
[00:46:08.950 --> 00:46:09.070]  're
[00:46:09.070 --> 00:46:09.230]   not
[00:46:09.230 --> 00:46:09.500]   gonna
[00:46:09.500 --> 00:46:09.600]   be
[00:46:09.600 --> 00:46:09.980]   looking
[00:46:09.980 --> 00:46:10.130]   at
[00:46:10.130 --> 00:46:10.290]   your
[00:46:10.290 --> 00:46:10.560]   phone
[00:46:10.560 --> 00:46:10.710]  ,
